"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Descripció torn","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
"2010S000018    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",30409,"Bac de Roda",0098X0098X,Dissabte,Ds,Laboral,2010,1,Gener,2,Tarda,21,"No és causa del  vianant",Turismo,Home,Conductor,34,"Ferit lleu","4584514,79","433571,61"
"2010S000018    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",30409,"Bac de Roda",0098X0098X,Dissabte,Ds,Laboral,2010,1,Gener,2,Tarda,21,"No és causa del  vianant",Turismo,Dona,Passatger,6,"Ferit lleu","4584514,79","433571,61"
"2010S000019    ",2,Eixample,7,"la Dreta de l'Eixample",191204,Mallorca,"0238 0238",Dissabte,Ds,Laboral,2010,1,Gener,2,Tarda,19,"No és causa del  vianant",Motocicleta,Dona,Passatger,34,"Ferit lleu","4582873,21","429950,02"
"2010S000019    ",2,Eixample,7,"la Dreta de l'Eixample",191204,Mallorca,"0238 0238",Dissabte,Ds,Laboral,2010,1,Gener,2,Tarda,19,"No és causa del  vianant",Motocicleta,Home,Conductor,36,"Ferit lleu","4582873,21","429950,02"
"2010S000020    ",6,Gràcia,30,"la Salut",344000,Dalt,"0101 0101",Dissabte,Ds,Laboral,2010,1,Gener,2,Tarda,21,"No és causa del  vianant",Motocicleta,Home,Conductor,22,"Ferit lleu","4584977,69","429688,68"
"2010S000021    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",143904,"General Mitre","0046 0046",Dissabte,Ds,Laboral,2010,1,Gener,2,Nit,22,"No és causa del  vianant",Motocicleta,Home,Conductor,66,"Ferit lleu","4583239,52","427734,98"
"2010S000022    ",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",223606,Muntaner,"0493 0493",Diumenge,Dg,Laboral,2010,1,Gener,3,Nit,00,"No és causa del  vianant",Ciclomotor,Dona,Conductor,20,"Ferit lleu","4584044,05","428013,68"
"2010S000025    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",28000,Augusta,"0013 0015",Diumenge,Dg,Laboral,2010,1,Gener,3,Matí,10,"No és causa del  vianant",Bicicleta,Home,Conductor,36,"Ferit lleu","4583354,91","429430,67"
"2010S000026    ",6,Gràcia,31,"la Vila de Gràcia",348805,"Revolució de Setembre 1868","0018 0018",Diumenge,Dg,Laboral,2010,1,Gener,3,Tarda,14,"No és causa del  vianant",Motocicleta,Dona,Conductor,47,"Ferit lleu","4583987,10","429738,86"
"2010S000027    ",4,"Les Corts",19,"les Corts",227800,Nicaragua,"0114 0116",Diumenge,Dg,Laboral,2010,1,Gener,3,Tarda,14,"No és causa del  vianant",Motocicleta,Home,Passatger,20,"Ferit lleu","4582182,84","428025,43"
"2010S000027    ",4,"Les Corts",19,"les Corts",227800,Nicaragua,"0114 0116",Diumenge,Dg,Laboral,2010,1,Gener,3,Tarda,14,"No és causa del  vianant",Motocicleta,Home,Conductor,22,"Ferit lleu","4582182,84","428025,43"
"2010S000028    ",3,Sants-Montjuïc,14,"la Font de la Guatlla",301608,"Sant Fructuós","0088 0088",Diumenge,Dg,Laboral,2010,1,Gener,3,Tarda,15,"No és causa del  vianant",Turismo,Home,Passatger,26,"Ferit lleu","4580282,67","428395,59"
"2010S000028    ",3,Sants-Montjuïc,14,"la Font de la Guatlla",301608,"Sant Fructuós","0088 0088",Diumenge,Dg,Laboral,2010,1,Gener,3,Tarda,15,"No és causa del  vianant",Turismo,Dona,Passatger,3,"Ferit lleu","4580282,67","428395,59"
"2010S000030    ",9,"Sant Andreu",63,Navas,209900,Meridiana,0231L0231L,Diumenge,Dg,Laboral,2010,1,Gener,3,Tarda,19,"Desobeir el senyal del semàfor",Taxi,Dona,Vianant,80,"Ferit lleu","4585725,30","432120,55"
"2010S000031    ",2,Eixample,7,"la Dreta de l'Eixample",71600,Casp,"0001 0013",Diumenge,Dg,Laboral,2010,1,Gener,3,Tarda,19,"Creuar per fora pas de vianants",Motocicleta,Dona,Vianant,52,"Ferit lleu","4582472,84","430700,22"
