"Número d'expedient","Codi districte","Nom districte","NK barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia de setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció torn","Descripció causa vianant","Número de morts","Número de lesionats lleus","Número de lesionats greus","Número de víctimes","Número de vehicles implicats","Coordenada UTM (Y)","Coordenada UTM (X)"
2012S008985,3,Sants-Montjuïc,33-3-14,"la Font de la Guatlla",212406,Mineria,"0070 0072",Dimecres,3,Laboral,2012,12,Desembre,19,14,Tarda,Desconegut,0,1,0,1,2,"4579938,14","428118,56"
2012S005037,3,Sants-Montjuïc,32-3-13,"la Marina de Port",369408,"Zona Franca","0168 0172",Dimarts,2,Laboral,2012,7,Juliol,10,17,Tarda,Desconegut,0,0,0,0,2,"4579084,18","428016,48"
2012S000853,3,Sants-Montjuïc,32-3-13,"la Marina de Port",160903,"Ildefons Cerdà",0001V0001V,Diumenge,7,Laboral,2012,2,Febrer,5,20,Tarda,Desconegut,0,1,0,1,2,"4579613,15","427746,59"
2012S001775,3,Sants-Montjuïc,32-3-13,"la Marina de Port",169409,"Corts Catalanes","0186 0186",Dissabte,6,Laboral,2012,3,Març,10,10,Matí,Desconegut,0,0,0,0,1,"4579912,34","428039,53"
2012S005667,3,Sants-Montjuïc,32-3-13,"la Marina de Port",212406,Mineria,"0001 0003",Divendres,5,Laboral,2012,8,Agost,3,12,Matí,"Creuar per fora pas de vianants",0,1,0,1,1,"4579539,11","427812,57"
2012S008564,3,Sants-Montjuïc,34-3-17,"Sants - Badal",68401,"Carreras i Candi","0072 0074",Dimarts,2,Laboral,2012,12,Desembre,4,16,Tarda,Desconegut,0,2,0,2,2,"4580478,36","427090,37"
2012S003073,3,Sants-Montjuïc,34-3-17,"Sants - Badal",282252,Blanca,"0089 0091",Dilluns,1,Laboral,2012,4,Abril,30,19,Tarda,Desconegut,0,1,0,1,2,"4580489,53","426915,74"
2012S008374,3,Sants-Montjuïc,34-3-17,"Sants - Badal",166003,"Jaume Roig","0045 0045",Dimecres,3,Laboral,2012,11,Novembre,28,11,Matí,Desconegut,0,0,0,0,1,"4580983,43","426860,85"
2012S004931,3,Sants-Montjuïc,34-3-17,"Sants - Badal",312400,Sants,"0339 0343",Divendres,5,Laboral,2012,7,Juliol,6,11,Matí,Desconegut,0,1,0,1,2,"4580809,48","426977,37"
2012S007051,3,Sants-Montjuïc,33-3-16,"la Bordeta",160903,"Ildefons Cerdà","0007 0007",Dilluns,1,Laboral,2012,10,Octubre,8,12,Matí,Desconegut,0,1,0,1,2,"4579681,07","427716,75"
2012S008570,3,Sants-Montjuïc,33-3-16,"la Bordeta",169409,"Corts Catalanes","0111 0119",Dimarts,2,Laboral,2012,12,Desembre,4,16,Tarda,Desconegut,0,1,0,1,1,"4579547,11","427553,61"
2012S007853,3,Sants-Montjuïc,33-3-16,"la Bordeta",142402,Gavà,"0034 0034",Dijous,4,Laboral,2012,11,Novembre,8,21,Tarda,Desconegut,0,0,0,0,2,"4580384,88","428143,66"
2012S002369,3,Sants-Montjuïc,33-3-16,"la Bordeta",142402,Gavà,"0036 0036",Dissabte,6,Laboral,2012,3,Març,31,21,Tarda,Desconegut,0,1,0,1,2,"4580381,35","428139,18"
