Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal_caption;Descripcio_dia_setmana;Dia_setmana;Descripcio_tipus_dia;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_tipus_accident;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2020S000001    ;7;Horta-Guinardó;36;la Font d'en Fargues;194406;Maragall;0353 0355;Dimecres;Dc;Laboral;2020;1;Gener;1;0;Nit;Xoc contra element estàtic;430501,45;4586751,53;2.167.115.845;4.142.747.394
2020S000002    ;3;Sants-Montjuïc;16;la Bordeta;169409;Corts Catalanes;0203 0203;Dimecres;Dc;Laboral;2020;1;Gener;1;2;Nit;Atropellament;428225,71;4580279,72;2.140.650.262;41.368.984.627
2020S000003    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;320704;Sarrià;0018 0018;Dimecres;Dc;Laboral;2020;1;Gener;1;2;Nit;Col.lisió lateral;428532,59;4582672,59;2.144.036.982;41.390.563.692
2020S000004    ;4;Les Corts;19;les Corts;101904;Doctor Fleming;0002 0002;Dimecres;Dc;Laboral;2020;1;Gener;1;6;Matí;Xoc contra element estàtic;427929,13;4582767,09;2.136.808.386;41.391.360.941
2020S000005    ;2;Eixample;7;la Dreta de l'Eixample;309406;Sant Pere;0029 0029;Dimecres;Dc;Laboral;2020;1;Gener;1;4;Nit;Atropellament;431157,87;4582598,57;2.175.443.819;41.390.126.129
2020S000006    ;3;Sants-Montjuïc;17;Sants - Badal;312400;Sants;0351 0355;Dimecres;Dc;Laboral;2020;1;Gener;1;10;Matí;Xoc contra element estàtic;427018,47;4581015,94;2.126.127.875;41.375.506.869
2020S000007    ;9;Sant Andreu;60;Sant Andreu;209900;Meridiana;0456 0456;Dimecres;Dc;Laboral;2020;1;Gener;1;13;Matí;Col.lisió fronto-lateral;431931,99;4587522,49;2.184.148.016;41.434.540.282
2020S000008    ;5;Sarrià-Sant Gervasi;23;Sarrià;315500;Santa Eulàlia;0023A0023A;Dimecres;Dc;Laboral;2020;1;Gener;1;14;Tarda;Caiguda interior vehicle;426049,39;4584165,47;2.114.155.762;41.403.784.796
2020S000009    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0286 0286;Dimecres;Dc;Laboral;2020;1;Gener;1;14;Tarda;Col.lisió lateral;430435,12;4582966,26;2.166.757.506;41.393.375.576
2020S000010    ;10;Sant Martí;73;la Verneda i la Pau;60807;Cantàbria;0074 0074;Dimecres;Dc;Laboral;2020;1;Gener;1;18;Tarda;Col.lisió fronto-lateral;433207,58;4586347,25;2.199.544.435;41.424.062.416
2020S000011    ;9;Sant Andreu;60;Sant Andreu;209900;Meridiana;0450 0454;Dimecres;Dc;Laboral;2020;1;Gener;1;17;Tarda;Atropellament;431930,41;4587485,64;2.184.133.259;41.434.208.253
2020S000012    ;3;Sants-Montjuïc;13;la Marina de Port;169409;Corts Catalanes;0186 0186;Dimecres;Dc;Laboral;2020;1;Gener;1;21;Tarda;Col.lisió fronto-lateral;428132,8;4580116,76;2.139.558.755;41.367.508.608
2020S000013    ;7;Horta-Guinardó;43;Horta;69109;Cartellà;0175 0175;Dimecres;Dc;Laboral;2020;1;Gener;1;22;Nit;Atropellament;430312,14;4587069,31;2.164.813.758;41.430.319.654
2020S000014    ;9;Sant Andreu;61;la Sagrera;292507;Gran de la Sagrera;0087 0087;Dijous;Dj;Laboral;2020;1;Gener;2;0;Nit;Col.lisió fronto-lateral;432495,23;4586217,01;2.191.034.824;41.422.829.809
2020S000015    ;9;Sant Andreu;58;Baró de Viver;701497;B-10 (Llobregat);40000;Dijous;Dj;Laboral;2020;1;Gener;2;8;Matí;Col.lisió lateral;433346,77;4589084;2.200.907.985;41.448.723.046
2020S000016    ;7;Horta-Guinardó;37;el Carmel;325504;Sigüenza;0076 0076;Dimecres;Dc;Laboral;2020;1;Gener;1;21;Tarda;Col.lisió fronto-lateral;429316,61;4586333,62;2.152.986.021;4.142.360.655
2020S000017    ;3;Sants-Montjuïc;13;la Marina de Port;169409;Corts Catalanes;0156V0156V;Dijous;Dj;Laboral;2020;1;Gener;2;12;Matí;Col.lisió lateral;427981,21;4579963,82;2.137.764.561;41.366.117.574
2020S000018    ;5;Sarrià-Sant Gervasi;23;Sarrià;44709;Bonanova;0088 0088;Dijous;Dj;Laboral;2020;1;Gener;2;14;Tarda;Col.lisió lateral;426893,17;4583918,34;2.124.279.181;41.401.636.216
2020S000019    ;3;Sants-Montjuïc;13;la Marina de Port;135203;Foc;0085 0085;Dijous;Dj;Laboral;2020;1;Gener;2;16;Tarda;Col.lisió lateral;428358,19;4578917,18;2.142.395.215;41.356.724.483
2020S000020    ;8;Nou Barris;44;Vilapicina i la Torre Llobeta;194406;Maragall;0334B0334B;Dijous;Dj;Laboral;2020;1;Gener;2;16;Tarda;Caiguda (dues rodes);430530,43;4586772,29;2.167.460.256;41.427.663.426
2020S000021    ;2;Eixample;9;la Nova Esquerra de l'Eixample;18505;Aragó;0041 0041;Dijous;Dj;Laboral;2020;1;Gener;2;16;Tarda;Altres;428886,09;4581486,26;2.148.404.153;4.137.991.018
2020S000022    ;1;Ciutat Vella;2;el Barri Gòtic;177101;Laietana;0059 0059;Dijous;Dj;Laboral;2020;1;Gener;2;14;Tarda;Xoc contra element estàtic;431008,75;4582322,7;2.173.691.785;41.387.628.665
2020S000023    ;2;Eixample;7;la Dreta de l'Eixample;169409;Corts Catalanes;0600 0600;Dijous;Dj;Laboral;2020;1;Gener;2;19;Tarda;Col.lisió lateral;430291,57;4582229,49;2.165.125.409;41.386.727.286
2020S000024    ;2;Eixample;6;la Sagrada Família;105304;Dos de Maig;0267 0267;Dijous;Dj;Laboral;2020;1;Gener;2;16;Tarda;Col.lisió frontal;431556,95;4584619,83;217.998.818;41.408.365.094
2020S000025    ;9;Sant Andreu;57;la Trinitat Vella;314100;Santa Coloma;0099 0099;Dijous;Dj;Laboral;2020;1;Gener;2;19;Tarda;Abast;433025,66;4588976,11;2.197.076.014;41.447.724.573
2020S000026    ;2;Eixample;10;Sant Antoni;349207;Universitat;9999 9999;Dijous;Dj;Laboral;2020;1;Gener;2;19;Tarda;Caiguda (dues rodes);430201,14;4582101,46;2.164.058.686;41.385.566.314
2020S000027    ;2;Eixample;6;la Sagrada Família;350308;València;0521 0521;Dijous;Dj;Laboral;2020;1;Gener;2;19;Tarda;Col.lisió lateral;431622,79;4584356,24;2.180.805.644;41.405.996.627
2020S000028    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;363809;Villarroel;0155 0155;Dijous;Dj;Laboral;2020;1;Gener;2;18;Tarda;Xoc contra element estàtic;429325,57;4582322,85;2.153.561.833;41.387.483.811
2020S000029    ;3;Sants-Montjuïc;17;Sants - Badal;701434;Mig (Descendent);160000;Dijous;Dj;Laboral;2020;1;Gener;2;21;Tarda;Col.lisió fronto-lateral;427269,21;4581410,68;2.129.078.617;41.379.084.854
2020S000030    ;3;Sants-Montjuïc;14;la Font de la Guatlla;301608;Sant Fructuós;0024 0024;Dijous;Dj;Laboral;2020;1;Gener;2;21;Tarda;Col.lisió fronto-lateral;428772,34;4580594,87;2.147.148.732;41.371.871.663
2020S000031    ;3;Sants-Montjuïc;16;la Bordeta;169409;Corts Catalanes;0181X0181X;Divendres;Dv;Laboral;2020;1;Gener;3;6;Matí;Col.lisió lateral;428120,05;4580176,09;2.139.399.283;41.368.041.834
2020S000032    ;4;Les Corts;20;la Maternitat i Sant Ramon;144601;Diagonal;0647 0647;Divendres;Dv;Laboral;2020;1;Gener;3;8;Matí;Atropellament;426117,83;4582064,97;2.115.230.858;41.384.872.816
2020S000033    ;6;Gràcia;31;la Vila de Gràcia;138405;Gal·la Placídia;0002 0002;Divendres;Dv;Laboral;2020;1;Gener;3;11;Matí;Col.lisió lateral;429346,83;4583589,77;2.153.668.208;41.398.896.387
2020S000034    ;10;Sant Martí;70;el Besòs i el Maresme;701265;Litoral (Besòs);540000;Divendres;Dv;Laboral;2020;1;Gener;3;12;Matí;Abast;435063,16;4584821,23;2.221.912.816;41.410.470.132
2020S000035    ;8;Nou Barris;45;Porta;289852;Rosselló i Porcel;0002 0002;Divendres;Dv;Laboral;2020;1;Gener;3;12;Matí;Col.lisió fronto-lateral;431855,93;4587772,72;2.183.209.486;41.436.787.563
2020S000036    ;5;Sarrià-Sant Gervasi;24;les Tres Torres;28000;Augusta;0320 0322;Divendres;Dv;Laboral;2020;1;Gener;3;13;Matí;Abast multiple;427013;4583581,84;2.125.753.169;41.398.616.397
2020S000037    ;3;Sants-Montjuïc;18;Sants;312400;Sants;0071 0073;Divendres;Dv;Laboral;2020;1;Gener;3;13;Matí;Caiguda (dues rodes);427963,11;4580979,18;2.137.427.465;41.375.260.945
2020S000038    ;-1;Desconegut;-1;Desconegut;-1;Desconegut;Desconegut;Divendres;Dv;Laboral;2020;1;Gener;3;13;Matí;Col.lisió fronto-lateral;-1;-1;-148.857.643;-0.000009019
2020S000039    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;23403;Aribau;9999 9999;Divendres;Dv;Laboral;2020;1;Gener;3;14;Tarda;Col.lisió lateral;429171,08;4583079,42;2.151.625.702;41.394.284.377
2020S000040    ;10;Sant Martí;67;la Vila Olímpica del Poblenou;700654;Litoral;9993 9993;Divendres;Dv;Laboral;2020;1;Gener;3;15;Tarda;Col.lisió lateral;432910,76;4582300,75;2.196.441.419;41.387.591.942
2020S000041    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;144601;Diagonal;0514 0514;Divendres;Dv;Laboral;2020;1;Gener;3;15;Tarda;Col.lisió fronto-lateral;429312,19;4583180,97;2.153.301.611;41.395.211.425
2020S000042    ;2;Eixample;7;la Dreta de l'Eixample;305100;Sant Joan;0067 0067;Divendres;Dv;Laboral;2020;1;Gener;3;16;Tarda;Col.lisió lateral;430875,83;4583386,06;2.171.980.695;41.397.194.607
2020S000043    ;9;Sant Andreu;60;Sant Andreu;239300;Pare Manyanet;0046 0046;Divendres;Dv;Laboral;2020;1;Gener;3;17;Tarda;Abast;432785,33;4586796,38;2.194.441.724;41.428.072.355
2020S000044    ;7;Horta-Guinardó;41;la Vall d'Hebron;352507;Vall d'Hebron;0240 0240;Divendres;Dv;Laboral;2020;1;Gener;3;16;Tarda;Abast;428871,6;4587569,59;2.147.515.512;41.434.699.118
2020S000045    ;4;Les Corts;19;les Corts;343903;Corts;0245 0247;Divendres;Dv;Laboral;2020;1;Gener;3;16;Tarda;Atropellament;427512,12;4582072,67;2.131.904.057;41.385.069.077
2020S000046    ;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;33509;Ballester;0047 0047;Divendres;Dv;Laboral;2020;1;Gener;3;18;Tarda;Col.lisió fronto-lateral;428729,97;4584520,6;2.146.179.983;41.407.225.549
2020S000047    ;9;Sant Andreu;61;la Sagrera;209900;Meridiana;0279 0285;Divendres;Dv;Laboral;2020;1;Gener;3;21;Tarda;Atropellament;432125,51;4586182,69;2.186.614.605;41.422.489.532
2020S000048    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;30089;B Zona Franca;0001 0005;Divendres;Dv;Laboral;2020;1;Gener;3;21;Tarda;Col.lisió fronto-lateral;427665,58;4575955,86;2.134.468.933;41.329.990.858
2020S000049    ;1;Ciutat Vella;1;el Raval;269108;Portal de la Pau;0002 0002;Divendres;Dv;Laboral;2020;1;Gener;3;21;Tarda;Col.lisió fronto-lateral;431229,39;4581076,77;2.176.472.014;41.376.425.825
2020S000050    ;6;Gràcia;29;el Coll;37000;Beat Almató;0056 0056;Dissabte;Ds;Laboral;2020;1;Gener;4;1;Nit;Col.lisió fronto-lateral;428943,8;4585730,02;214.859.592;41.418.137.263
2020S000051    ;2;Eixample;7;la Dreta de l'Eixample;222002;Mossèn Jacint Verdaguer;9999 9999;Dissabte;Ds;Laboral;2020;1;Gener;4;5;Nit;Xoc contra element estàtic;430706,56;4583594,99;2.169.932.089;41.399.061.796
2020S000052    ;9;Sant Andreu;63;Navas;115603;Espronceda;0413 0413;Dissabte;Ds;Laboral;2020;1;Gener;4;7;Matí;Col.lisió lateral;431970,16;4585923,86;2.184.784.829;41.420.145.186
2020S000052    ;9;Sant Andreu;63;Navas;115603;Espronceda;0413 0413;Dissabte;Ds;Laboral;2020;1;Gener;4;7;Matí;Altres;431970,16;4585923,86;2.184.784.829;41.420.145.186
2020S000053    ;3;Sants-Montjuïc;13;la Marina de Port;261478;Polvorí;0003 0003;Dissabte;Ds;Laboral;2020;1;Gener;4;8;Matí;Altres;428405,15;4579740,79;2.142.859.306;41.364.146.652
2020S000053    ;3;Sants-Montjuïc;13;la Marina de Port;261478;Polvorí;0003 0003;Dissabte;Ds;Laboral;2020;1;Gener;4;8;Matí;Xoc contra element estàtic;428405,15;4579740,79;2.142.859.306;41.364.146.652
2020S000054    ;10;Sant Martí;68;el Poblenou;110009;Ramon Turró;0140 0140;Dissabte;Ds;Laboral;2020;1;Gener;4;10;Matí;Col.lisió fronto-lateral;433102,1;4583287,77;2.198.620.679;41.396.497.735
2020S000055    ;2;Eixample;7;la Dreta de l'Eixample;305100;Sant Joan;0130 0130;Dissabte;Ds;Laboral;2020;1;Gener;4;12;Matí;Caiguda (dues rodes);430540,89;4583823,4;2.167.924.192;41.401.104.708
2020S000056    ;8;Nou Barris;52;la Prosperitat;701268;Dalt (Llobregat);1490000;Dissabte;Ds;Laboral;2020;1;Gener;4;13;Matí;Altres;431626,51;4588805,26;2.180.346.738;41.446.067.764
2020S000056    ;8;Nou Barris;52;la Prosperitat;701268;Dalt (Llobregat);1490000;Dissabte;Ds;Laboral;2020;1;Gener;4;13;Matí;Caiguda (dues rodes);431626,51;4588805,26;2.180.346.738;41.446.067.764
2020S000057    ;3;Sants-Montjuïc;11;el Poble-sec;114000;Espanya;9999 9999;Dissabte;Ds;Laboral;2020;1;Gener;4;14;Tarda;Col.lisió lateral;428940,71;4580909,36;2.149.124.972;41.374.719.063
2020S000058    ;2;Eixample;5;el Fort Pienc;169409;Corts Catalanes;0828 0828;Dissabte;Ds;Laboral;2020;1;Gener;4;14;Tarda;Abast;431936,43;4583838,41;2.184.615.952;41.401.359.317
2020S000059    ;8;Nou Barris;46;el Turó de la Peira;119003;Fabra i Puig;0278 0278;Dissabte;Ds;Laboral;2020;1;Gener;4;15;Tarda;Atropellament;430943,82;4587080,88;2.172.371.959;4.143.047.845
2020S000060    ;2;Eixample;7;la Dreta de l'Eixample;169409;Corts Catalanes;9999 9999;Dissabte;Ds;Laboral;2020;1;Gener;4;15;Tarda;Col.lisió fronto-lateral;430557,83;4582516,3;2.168.276.802;41.389.333.538
2020S000061    ;1;Ciutat Vella;1;el Raval;34308;Rambla;0035 0035;Dissabte;Ds;Laboral;2020;1;Gener;4;19;Tarda;Atropellament;431090,32;4581379,45;2.174.774.657;41.379.140.076
2020S000063    ;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;201400;Picasso;0012 0012;Dissabte;Ds;Laboral;2020;1;Gener;4;16;Tarda;Abast;431750,43;4582331,38;2.182.560.951;4.138.777.015
2020S000064    ;1;Ciutat Vella;2;el Barri Gòtic;701265;Litoral (Besòs);1010000;Dissabte;Ds;Laboral;2020;1;Gener;4;17;Tarda;Caiguda (dues rodes);431765,17;4581550,86;2.182.825.186;41.380.741.466
2020S000065    ;8;Nou Barris;44;Vilapicina i la Torre Llobeta;194406;Maragall;0182 0182;Dissabte;Ds;Laboral;2020;1;Gener;4;12;Matí;Col.lisió lateral;431240,34;4586550,44;217.598.089;41.425.726.417
2020S000066    ;2;Eixample;7;la Dreta de l'Eixample;144601;Diagonal;0387 0387;Dissabte;Ds;Laboral;2020;1;Gener;4;19;Tarda;Col.lisió lateral;429809,14;4583287,66;2.159.233.182;41.396.215.898
2020S000067    ;10;Sant Martí;70;el Besòs i el Maresme;701414;C-31;20840000;Dissabte;Ds;Laboral;2020;1;Gener;4;21;Tarda;Col.lisió fronto-lateral;434007,45;4585877,1;2.209.167.247;41.419.894.044
2020S000068    ;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;163504;Isabel II;0002 0002;Dissabte;Ds;Laboral;2020;1;Gener;4;23;Nit;Col.lisió fronto-lateral;431742,93;4581619,47;2.182.551.501;41.381.357.531
2020S000069    ;10;Sant Martí;65;el Clot;226400;Las Navas de Tolosa;0243 0243;Diumenge;Dg;Laboral;2020;1;Gener;5;5;Nit;Abast;432456,26;4585044,53;2.190.699.509;41.412.266.359
2020S000070    ;10;Sant Martí;68;el Poblenou;701266;Litoral (Llobregat);710000;Diumenge;Dg;Laboral;2020;1;Gener;5;6;Matí;Xoc contra element estàtic;433970,87;4583525,55;2.208.986.292;41.398.711.212
2020S000071    ;7;Horta-Guinardó;33;el Baix Guinardó;297001;Sant Antoni Maria Claret;0163 0165;Diumenge;Dg;Laboral;2020;1;Gener;5;9;Matí;Caiguda (dues rodes);431057,95;4584924,54;2.173.983.748;41.411.066.849
2020S000072    ;7;Horta-Guinardó;33;el Baix Guinardó;178308;Lepant;0368 0370;Diumenge;Dg;Laboral;2020;1;Gener;5;11;Matí;Col.lisió lateral;430806,48;4584689,88;2.171.002.059;41.408.931.723
2020S000073    ;7;Horta-Guinardó;36;la Font d'en Fargues;78303;Ciències;0043 0043;Diumenge;Dg;Laboral;2020;1;Gener;5;11;Matí;Col.lisió lateral;429781,38;4586529,46;2.158.524.731;41.425.411.185
2020S000074    ;9;Sant Andreu;57;la Trinitat Vella;314100;Santa Coloma;0101 0105;Diumenge;Dg;Laboral;2020;1;Gener;5;13;Matí;Abast;433075,4;4588998,68;219.766.893;41.447.932.004
2020S000075    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;32700;Balmes;0019 0019;Diumenge;Dg;Laboral;2020;1;Gener;5;13;Matí;Abast;430260,21;4582324,67;2.164.739.401;41.387.581.823
2020S000076    ;2;Eixample;6;la Sagrada Família;142300;Gaudí;0069 0069;Diumenge;Dg;Laboral;2020;1;Gener;5;14;Tarda;Col.lisió fronto-lateral;431062,98;4584751,97;2.174.063.598;41.409.513
2020S000077    ;1;Ciutat Vella;2;el Barri Gòtic;701266;Litoral (Llobregat);1050000;Diumenge;Dg;Laboral;2020;1;Gener;5;16;Tarda;Abast;431520,59;4581243,79;2.179.935.149;41.377.954.977
2020S000078    ;8;Nou Barris;49;Canyelles;120807;Favència;0013 0015;Diumenge;Dg;Laboral;2020;1;Gener;5;18;Tarda;Col.lisió frontal;430250,41;4588256,61;2.163.937.904;41.441.007.841
2020S000079    ;3;Sants-Montjuïc;11;el Poble-sec;701266;Litoral (Llobregat);1290000;Diumenge;Dg;Laboral;2020;1;Gener;5;18;Tarda;Abast;430583,49;4579502,49;2.168.929.025;41.362.191.229
2020S000080    ;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;44709;Bonanova;0018 0020;Diumenge;Dg;Laboral;2020;1;Gener;5;20;Tarda;Col.lisió frontal;427482,53;4584346,28;2.131.277.775;41.405.543.895
2020S000081    ;3;Sants-Montjuïc;18;Sants;138802;Galileu;0181 0181;Diumenge;Dg;Laboral;2020;1;Gener;5;1;Nit;Col.lisió fronto-lateral;427646,23;4581616,08;2.133.562.417;41.380.968.823
2020S000082    ;10;Sant Martí;68;el Poblenou;346800;Poblenou;0043 0043;Diumenge;Dg;Laboral;2020;1;Gener;5;20;Tarda;Abast;433435,6;4583667,06;2.202.568.021;41.399.941.598
2020S000083    ;8;Nou Barris;53;la Trinitat Nova;291300;S'Agaró;0001 0001;Diumenge;Dg;Laboral;2020;1;Gener;5;15;Tarda;Abast;432164,4;4588928,97;2.186.771.524;41.447.227.636
2020S000084    ;10;Sant Martí;68;el Poblenou;42306;Bilbao;0031X0031X;Diumenge;Dg;Laboral;2020;1;Gener;5;20;Tarda;Col.lisió fronto-lateral;433644,35;4583850,37;2.205.044.955;41.401.609.891
2020S000085    ;2;Eixample;5;el Fort Pienc;76807;Sardenya;0159 0159;Dilluns;Dl;Laboral;2020;1;Gener;6;1;Nit;Abast multiple;431678,21;4583358,81;2.181.581.262;41.397.017.787
2020S000086    ;2;Eixample;7;la Dreta de l'Eixample;144601;Diagonal;0311B0311B;Dilluns;Dl;Laboral;2020;1;Gener;6;0;Nit;Abast;430938,36;4583650,81;2.172.698.417;41.399.584.503
2020S000087    ;7;Horta-Guinardó;43;Horta;701267;Dalt (Besòs);4,00E+00;Dilluns;Dl;Laboral;2020;1;Gener;6;12;Matí;Abast;429739,8;4588052,89;2.157.849.982;41.439.128.473
2020S000088    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;89004;Consell de Cent;0211 0211;Dilluns;Dl;Laboral;2020;1;Gener;6;13;Matí;Abast;429647,55;4582045,96;2.157.444.703;41.385.018.194
2020S000089    ;2;Eixample;7;la Dreta de l'Eixample;309406;Sant Pere;0029 0029;Dilluns;Dl;Laboral;2020;1;Gener;6;21;Tarda;Caiguda (dues rodes);431157,87;4582598,57;2.175.443.819;41.390.126.129
2020S000090    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;32700;Balmes;0305 0305;Dilluns;Dl;Laboral;2020;1;Gener;6;14;Tarda;Col.lisió lateral;428659,12;4583973,68;2.145.396.902;41.402.293.364
2020S000091    ;8;Nou Barris;56;Vallbona;236506;Oristà;0003 0003;Dilluns;Dl;Laboral;2020;1;Gener;6;18;Tarda;Col.lisió lateral;431960,58;4590710,22;2.184.130.839;41.463.253.426
2020S000092    ;2;Eixample;6;la Sagrada Família;268003;Provença;0490 0492;Dilluns;Dl;Laboral;2020;1;Gener;6;18;Tarda;Altres;431304,35;4584385,11;2.176.992.902;41.406.229.485
2020S000093    ;7;Horta-Guinardó;40;Montbau;148409;Sant Cugat;430000;Dilluns;Dl;Laboral;2020;1;Gener;6;2;Nit;Col.lisió fronto-lateral;427486,63;4587256,02;2.130.977.792;4.143.175.101
2020S000094    ;5;Sarrià-Sant Gervasi;23;Sarrià;701267;Dalt (Besòs);740000;Dilluns;Dl;Laboral;2020;1;Gener;6;10;Matí;Abast;426324,82;4584220,75;2.117.443.804;4.140.430.798
2020S000095    ;2;Eixample;6;la Sagrada Família;191204;Mallorca;0449 0449;Dimarts;Dm;Laboral;2020;1;Gener;7;8;Matí;Caiguda (dues rodes);431421,65;4584343,56;2.178.400.865;41.405.865.278
2020S000095    ;2;Eixample;6;la Sagrada Família;191204;Mallorca;0449 0449;Dimarts;Dm;Laboral;2020;1;Gener;7;8;Matí;Abast;431421,65;4584343,56;2.178.400.865;41.405.865.278
2020S000096    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;100800;Diputació;0209 0209;Dimarts;Dm;Laboral;2020;1;Gener;7;8;Matí;Col.lisió lateral;430029,25;4582232,46;2.161.987.899;41.386.731.249
2020S000097    ;3;Sants-Montjuïc;14;la Font de la Guatlla;169409;Corts Catalanes;0218 0218;Dimarts;Dm;Laboral;2020;1;Gener;7;10;Matí;Col.lisió fronto-lateral;428347,35;4580326,06;214.209.911;41.369.412.839
2020S000098    ;7;Horta-Guinardó;33;el Baix Guinardó;152905;Guinardó;0046 0046;Dimarts;Dm;Laboral;2020;1;Gener;7;9;Matí;Atropellament;430482,1;4585032,8;2.167.081.952;41.411.992.281
2020S000099    ;10;Sant Martí;71;Provençals del Poblenou;700908;Sant Joan de Malta;0016 0016;Dimarts;Dm;Laboral;2020;1;Gener;7;10;Matí;Atropellament;432827,6;4584645,48;2.195.186.579;41.408.703.368
2020S000100    ;2;Eixample;9;la Nova Esquerra de l'Eixample;361406;Viladomat;0222 0222;Dimarts;Dm;Laboral;2020;1;Gener;7;12;Matí;Col.lisió lateral;428975,02;4582146,62;2.149.390.133;41.385.865.676
2020S000101    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;700127;Major de Mercabarna;0069 0069;Dimarts;Dm;Laboral;2020;1;Gener;7;12;Matí;Col.lisió fronto-lateral;426097,79;4576076,61;2.115.721.029;41.330.936.114
2020S000102    ;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;701266;Litoral (Llobregat);590000;Dimarts;Dm;Laboral;2020;1;Gener;7;13;Matí;Col.lisió lateral;434803,19;4584402,67;2.218.847.699;41.406.679.199
2020S000103    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;223606;Muntaner;0439 0439;Dimarts;Dm;Laboral;2020;1;Gener;7;14;Tarda;Abast;428215,29;4583840,13;2.140.103.608;41.401.051.005
2020S000104    ;9;Sant Andreu;57;la Trinitat Vella;34400;Bàrcino;0094 0094;Dimarts;Dm;Laboral;2020;1;Gener;7;14;Tarda;Col.lisió lateral;432716,43;4589080,04;219.336.276;41.448.634.759
2020S000105    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;23403;Aribau;0233 0235;Dimarts;Dm;Laboral;2020;1;Gener;7;16;Tarda;Col.lisió fronto-lateral;428832,77;4583440,55;2.147.536.827;41.397.507.059
2020S000106    ;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;223606;Muntaner;0520 0522;Dimarts;Dm;Laboral;2020;1;Gener;7;17;Tarda;Atropellament;427898,22;4584220,15;2.136.265.572;41.404.445.305
2020S000107    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0286 0286;Dimarts;Dm;Laboral;2020;1;Gener;7;17;Tarda;Col.lisió lateral;430435,12;4582966,26;2.166.757.506;41.393.375.576
2020S000108    ;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;302000;Sant Gervasi;0038 0038;Dimarts;Dm;Laboral;2020;1;Gener;7;18;Tarda;Col.lisió frontal;427905,38;4584828,89;2.136.278.668;41.409.928.618
2020S000109    ;2;Eixample;6;la Sagrada Família;90502;Còrsega;0567 0569;Dimarts;Dm;Laboral;2020;1;Gener;7;16;Tarda;Atropellament;430960,58;4584460,23;2.172.871.835;41.406.876.599
2020S000110    ;2;Eixample;6;la Sagrada Família;350308;València;0511 0517;Dimarts;Dm;Laboral;2020;1;Gener;7;17;Tarda;Col.lisió lateral;431595,9;4584325,82;2.180.487.402;41.405.720.354
2020S000111    ;2;Eixample;10;Sant Antoni;198804;Paral·lel;0118 0118;Dimarts;Dm;Laboral;2020;1;Gener;7;17;Tarda;Col.lisió fronto-lateral;430086,01;4580949,24;2.162.814.837;41.375.178.619
2020S000112    ;4;Les Corts;19;les Corts;225306;Nau Santa Maria;0010 0010;Dimarts;Dm;Laboral;2020;1;Gener;7;19;Tarda;Col.lisió frontal;427573,5;4582749,64;2.132.557.113;41.391.171.813
2020S000113    ;5;Sarrià-Sant Gervasi;24;les Tres Torres;28000;Augusta;0281 0285;Dimarts;Dm;Laboral;2020;1;Gener;7;19;Tarda;Col.lisió lateral;427360,12;4583470,44;2.129.918.577;41.397.644.512
2020S000114    ;5;Sarrià-Sant Gervasi;24;les Tres Torres;701434;Mig (Descendent);370000;Dimarts;Dm;Laboral;2020;1;Gener;7;22;Nit;Xoc contra element estàtic;427707,3;4583220,56;2.134.101.122;41.395.425.248
2020S000115    ;2;Eixample;10;Sant Antoni;323203;Sepúlveda;0089 0089;Dimecres;Dc;Laboral;2020;1;Gener;8;7;Matí;Abast;429626,57;4581423,81;2.157.266.097;41.379.412.854
2020S000116    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;700122;Longitudinal 5;0061 0061;Dimecres;Dc;Laboral;2020;1;Gener;8;6;Matí;Col.lisió fronto-lateral;426383,45;4576025,05;2.119.140.621;41.330.497.886
