Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal_caption;Descripcio_dia_setmana;Dia_setmana;Descripcio_tipus_dia;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_tipus_accident;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2020S004505    ;10;Sant Martí;70;el Besòs i el Maresme;701447;Francesc de Borja Moll;0011 0011;Dimecres;Dc;Laboral;2020;9;Setembre;30;10;Matí;Xoc contra element estàtic;434824,81;4585102,61;2.219.030.908;41.412.985.153
2020S004506    ;3;Sants-Montjuïc;13;la Marina de Port;169409;Corts Catalanes;0162 0162;Dimecres;Dc;Laboral;2020;9;Setembre;30;11;Matí;Caiguda interior vehicle;428042,6;4580028,1;2.138.490.875;41.366.702.015
2020S004507    ;9;Sant Andreu;60;Sant Andreu;239300;Pare Manyanet;0017 0017;Dimecres;Dc;Laboral;2020;9;Setembre;30;12;Matí;Atropellament;432596,77;4586785,63;2.192.186.428;41.427.959.723
2020S004508    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;18505;Aragó;0214 0216;Dimecres;Dc;Laboral;2020;9;Setembre;30;13;Matí;Abast;429862,12;4582405,47;2.159.969.098;41.388.274.931
2020S004509    ;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;700059;Vallvidrera a les Planes;0005 0005;Dimecres;Dc;Laboral;2020;9;Setembre;30;9;Matí;Xoc contra element estàtic;424683,79;4585883,92;20.976.061;41.419.135.157
2020S004510    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;701433;Mig (Ascendent);380000;Dimecres;Dc;Laboral;2020;9;Setembre;30;14;Tarda;Caiguda (dues rodes);427677,2;4583309,49;2.133.730.475;41.396.223.497
2020S004511    ;4;Les Corts;19;les Corts;701434;Mig (Descendent);320000;Dimecres;Dc;Laboral;2020;9;Setembre;30;15;Tarda;Col.lisió lateral;427347,13;4582899,16;2.129.831.777;41.392.498.052
2020S004512    ;3;Sants-Montjuïc;16;la Bordeta;169409;Corts Catalanes;0203 0203;Dimecres;Dc;Laboral;2020;9;Setembre;30;15;Tarda;Abast;428225,71;4580279,72;2.140.650.262;41.368.984.627
2020S004513    ;2;Eixample;6;la Sagrada Família;161407;Indústria;0138 0138;Dimecres;Dc;Laboral;2020;9;Setembre;30;18;Tarda;Atropellament;431022,54;4584672,68;2.173.588.836;41.408.795.389
2020S004514    ;9;Sant Andreu;60;Sant Andreu;209900;Meridiana;0574 0578;Dimecres;Dc;Laboral;2020;9;Setembre;30;17;Tarda;Abast;432156,47;4588400,76;2.186.735.958;41.442.469.565
2020S004515    ;8;Nou Barris;48;la Guineueta;351901;Valldaura;0135 0135;Dimecres;Dc;Laboral;2020;9;Setembre;30;18;Tarda;Col.lisió fronto-lateral;430422,9;4588088,04;2.166.021.908;41.439.504.571
2020S004516    ;2;Eixample;5;el Fort Pienc;169409;Corts Catalanes;0751 0751;Dimecres;Dc;Laboral;2020;9;Setembre;30;16;Tarda;Abast;431756,23;4583735,03;218.247.205;41.400.412.919
2020S004517    ;6;Gràcia;30;la Salut;7906;Ca l'Alegre de Dalt;0092 0094;Dimecres;Dc;Laboral;2020;9;Setembre;30;17;Tarda;Atropellament;429820,68;4584965,84;2.159.176.534;41.411.331.682
2020S004518    ;8;Nou Barris;52;la Prosperitat;701268;Dalt (Llobregat);1490000;Dimecres;Dc;Laboral;2020;9;Setembre;30;19;Tarda;Abast multiple;431626,51;4588805,26;2.180.346.738;41.446.067.764
2020S004519    ;2;Eixample;6;la Sagrada Família;238400;Padilla;0296B0296B;Dimecres;Dc;Laboral;2020;9;Setembre;30;21;Tarda;Col.lisió fronto-lateral;431111,4;4584566,27;2.174.664.023;41.407.844.614
2020S004520    ;9;Sant Andreu;57;la Trinitat Vella;314100;Santa Coloma;0099U0099U;Dimecres;Dc;Laboral;2020;9;Setembre;30;20;Tarda;Caiguda (dues rodes);433029,67;4589289,93;2.197.089.195;41.450.551.378
2020S004520    ;9;Sant Andreu;57;la Trinitat Vella;314100;Santa Coloma;0099U0099U;Dimecres;Dc;Laboral;2020;9;Setembre;30;20;Tarda;Col.lisió lateral;433029,67;4589289,93;2.197.089.195;41.450.551.378
