Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal_caption,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2019S002684    ,4,Les Corts,19,les Corts,66508,Carles III                                        ,0054 0054,Divendres,Dv,Laboral,2019,4,Abril,5,16,Tarda,No és causa del  vianant,0,1,0,1,2,"427187,1","4581911,03",2.1279459364711766,41.383606006425815
2019S002685    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,18505,Independència / Aragó                             ,0551 0551,Divendres,Dv,Laboral,2019,4,Abril,5,16,Tarda,No és causa del  vianant,0,1,0,1,2,"431908,03","4584443,28",2.1841165617329796,41.406827023998424
2019S002686    ,2,Eixample,6,la Sagrada Família,289105,Rosselló / Padilla                                ,0473 0473,Divendres,Dv,Laboral,2019,4,Abril,5,19,Tarda,No és causa del  vianant,0,2,0,2,2,"431155,43","4584469,99",2.1751102390892303,41.40700339129592
2019S002687    ,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,267000,Riera de Cassoles / Bretón de los Herreros        ,0011 0011,Divendres,Dv,Laboral,2019,4,Abril,5,16,Tarda,Desobeir el senyal del semàfor,0,1,0,1,1,"429098,1","4583932,53",2.1505617110311386,41.40198365598791
2019S002688    ,10,Sant Martí,65,el Clot,209900,Meridiana / València                              ,0142 0142,Divendres,Dv,Laboral,2019,4,Abril,5,20,Tarda,Desobeir el senyal del semàfor,0,1,0,1,1,"432160,59","4584770,93",2.1871011330327144,41.40979942197632
2019S002689    ,3,Sants-Montjuïc,18,Sants,30602,Mig (Ascendent)                                   ,0112 0114,Divendres,Dv,Laboral,2019,4,Abril,5,18,Tarda,No és causa del  vianant,0,1,0,1,2,"427539,94","4580521,03",2.1323317830996737,41.37111884498151
2019S002690    ,8,Nou Barris,52,la Prosperitat,120807,Dalt (Besòs)                                      ,0370X0370X,Divendres,Dv,Laboral,2019,4,Abril,5,20,Tarda,No és causa del  vianant,0,0,0,0,2,"431783,21","4588822,77",2.1821284743474263,41.446260561316535
2019S002691    ,2,Eixample,6,la Sagrada Família,89004,Consell de Cent / Castillejos                     ,0544 0544,Divendres,Dv,Laboral,2019,4,Abril,5,13,Matí,No és causa del  vianant,0,2,0,2,3,"431730,4","4584053,25",2.1820356479868557,41.40329909420739
2019S002692    ,2,Eixample,7,la Dreta de l'Eixample,335100,Sant Joan / Diputació                             ,0023 0023,Divendres,Dv,Laboral,2019,4,Abril,5,14,Tarda,No és causa del  vianant,0,1,0,1,2,"431104,52","4583232,68",2.1746422307959263,41.395855090429166
2019S002693    ,2,Eixample,9,la Nova Esquerra de l'Eixample,89004,Consell de Cent / Comte d'Urgell                  ,0189 0189,Divendres,Dv,Laboral,2019,4,Abril,5,16,Tarda,No és causa del  vianant,0,1,0,1,2,"429511,87","4581912,79",2.1557466186798098,41.38382920048838
