"Codi d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ causa vianant","Descripci¢ tipus de vehicle","Descripci¢ model","Descripci¢ marca","Descripci¢ color","Descripci¢ carnet","Antiguitat carnet","Coordenada UTM (Y)","Coordenada UTM (X)"
2013S006328,3,Sants-Montju‹c,15,Hostafrancs,114000,Espanya,"0005 0005",Divendres,Dv,Laboral,2013,9,Setembre,6,18,"No ‚s causa del  vianant",Furgoneta,KOMBI,VOLKSWAGEN,Blanc,B,14,"4580937,4","428856,34"
2013S006330,5,"Sarri…-Sant Gervasi",27,"el Putxet i el Farr¢",32700,Balmes,"0322 0324",Divendres,Dv,Laboral,2013,9,Setembre,6,18,"No ‚s causa del  vianant",Turismo,"C 220",MERCEDES,Gris,B,1,"4584052,2","428564,86"
2013S000046,2,Eixample,8,"l'Antiga Esquerra de l'Eixample",70607,Casanova,"0104 0104",Dijous,Dj,Laboral,2013,1,Gener,3,20,"No ‚s causa del  vianant",Furgoneta,CABSTAR,NISSAN,Blau,Desconegut,Desconegut,"4582303,43","429570,56"
2013S000048,5,"Sarri…-Sant Gervasi",25,"Sant Gervasi - la Bonanova",191703,Mandri,"0038 0038",Dijous,Dj,Laboral,2013,1,Gener,3,20,"No ‚s causa del  vianant","Todo terreno","ML 230",MERCEDES,Negre,B,46,"4584118,25","427686,78"
2013S000049,2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","9999 9999",Dijous,Dj,Laboral,2013,1,Gener,3,23,"No ‚s causa del  vianant",Motocicleta,"X Max",YAMAHA,Negre,A,18,"4582516,07","430558,51"
2013S000171,3,Sants-Montju‹c,18,Sants,312400,Sants,"0033 0033",Dimecres,Dc,Laboral,2013,1,Gener,9,7,"No ‚s causa del  vianant",Ciclomotor,"ZIP AIRE",PIAGGIO,Negre,AM,7,"4580974,56","428091,1"
2013S005896,3,Sants-Montju‹c,18,Sants,312400,Sants,"0091 0091",Dimecres,Dc,Laboral,2013,8,Agost,14,17,"No ‚s causa del  vianant",Furgoneta,TRANSIT,FORD,Verd,B,17,"4580983,2","427845,7"
2013S005900,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",163504,"Isabel II","0002 0002",Dimecres,Dc,Laboral,2013,8,Agost,14,18,"No ‚s causa del  vianant","Autob£s articulado",CITYCLASS,IRISBUS,Vermell,"E D",7,"4581619,21","431742,93"
2013S006036,10,"Sant Mart¡",71,"Proven‡als del Poblenou",115603,Espronceda,"0183 0185",Dijous,Dj,Laboral,2013,8,Agost,22,15,"No ‚s causa del  vianant",Motocicleta,PHANTEON,HONDA,Gris,B,24,"4584668,19","433202,94"
2013S006042,9,"Sant Andreu",57,"la Trinitat Vella",701267,"Dalt (Bes•s)",1590000,Dijous,Dj,Laboral,2013,8,Agost,22,22,"No ‚s causa del  vianant",Motocicleta,"SH 125",HONDA,Negre,B,8,"4588906,94","432617,25"
