"N£mero d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ torn","Descripci¢ causa mediata","Coordenada UTM (Y)","Coordenada UTM (X)"
2011S000599,1,"Ciutat Vella",1,"el Raval",250904,Pelai,"0046 0046",Divendres,Dv,Laboral,2011,1,Gener,28,19,Tarda,"No hi ha causa mediata","4582090,96","430552,02"
2011S007035,1,"Ciutat Vella",1,"el Raval",250904,Pelai,"0058 0058",Dimarts,Dm,Laboral,2011,10,Octubre,18,20,Tarda,"No hi ha causa mediata","4582079,04","430642,87"
2011S003175,1,"Ciutat Vella",1,"el Raval",282106,"Riera Alta","0002 0002",Dimecres,Dc,Laboral,2011,5,Maig,11,12,Mat°,"No hi ha causa mediata","4581550,09","430471,29"
2011S003366,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",240707,Palau,"0017 0017",Dimecres,Dc,Laboral,2011,5,Maig,18,13,Mat°,"No hi ha causa mediata","4581769,17","431923,72"
2011S003204,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",240707,Palau,"0022 0022",Dijous,Dj,Laboral,2011,5,Maig,12,10,Mat°,"No hi ha causa mediata","4581764,39","431767,04"
2011S005929,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",240707,Palau,"9999 9999",Dijous,Dj,Laboral,2011,9,Setembre,8,17,Tarda,"No hi ha causa mediata","4581775,62","431825,77"
2011S000406,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",79306,Circumval˙laci¢,"0015 0015",Divendres,Dv,Laboral,2011,1,Gener,21,6,Mat°,"ExcÇs de velocitat o inadequada","4582066,55","432424,32"
2011S008832,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",163504,"Isabel II","0002 0002",Divendres,Dv,Laboral,2011,12,Desembre,30,23,Nit,"No hi ha causa mediata","4581619,21","431742,93"
2011S005526,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",163504,"Isabel II","0002 0002",Dimarts,Dm,Laboral,2011,8,Agost,16,22,Nit,"No hi ha causa mediata","4581619,21","431742,93"
2011S001854,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",163504,"Isabel II","0002 0002",Dissabte,Ds,Laboral,2011,3,Mará,19,0,Nit,"No hi ha causa mediata","4581619,21","431742,93"
2011S007810,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",163504,"Isabel II","0002 0002",Divendres,Dv,Laboral,2011,11,Novembre,18,16,Tarda,"No hi ha causa mediata","4581619,21","431742,93"
2011S004266,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",163504,"Isabel II","0002 0002",Dimecres,Dc,Laboral,2011,6,Juny,22,7,Mat°,"No hi ha causa mediata","4581619,21","431742,93"
2011S002027,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",163504,"Isabel II","0002 0002",Divendres,Dv,Laboral,2011,3,Mará,25,8,Mat°,"No hi ha causa mediata","4581619,21","431742,93"
2011S004267,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",163504,"Isabel II","0014 0014",Dimecres,Dc,Laboral,2011,6,Juny,22,8,Mat°,"No hi ha causa mediata","4581708,62","431800,7"
2011S001674,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",163504,"Isabel II",0014B0014B,Divendres,Dv,Laboral,2011,3,Mará,11,17,Tarda,"No hi ha causa mediata","4581723,87","431810,7"
2011S008033,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",163504,"Isabel II",0014B0014B,Dilluns,Dl,Laboral,2011,11,Novembre,28,12,Mat°,"No hi ha causa mediata","4581723,87","431810,7"
2011S005999,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",198203,"Marquäs de l'Argentera","0013 0013",Dilluns,Dl,Laboral,2011,9,Setembre,12,2,Nit,Alcoholämia,"4581956,57","431911,2"
2011S005969,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",198203,"Marquäs de l'Argentera",0022X0022X,Divendres,Dv,Laboral,2011,9,Setembre,9,23,Nit,"No hi ha causa mediata","4582037,47","432015,1"
2011S008713,1,"Ciutat Vella",3,"la Barceloneta",145706,Ginebra,"0016 0016",Diumenge,Dg,Laboral,2011,12,Desembre,25,6,Mat°,"No hi ha causa mediata","4581638,19","432236,13"
2011S002087,1,"Ciutat Vella",3,"la Barceloneta",248050,"Pau Vila","0015 0015",Diumenge,Dg,Laboral,2011,3,Mará,27,12,Mat°,Alcoholämia,"4581681,39","432104,12"
2011S002252,1,"Ciutat Vella",2,"el Barri Gïtic",74404,Catalunya,0016B0016B,Dissabte,Ds,Laboral,2011,4,Abril,2,3,Nit,"No hi ha causa mediata","4582248,15","430840,05"
2011S000484,1,"Ciutat Vella",2,"el Barri Gïtic",177101,Laietana,"0035 0035",Dilluns,Dl,Laboral,2011,1,Gener,24,13,Mat°,"No hi ha causa mediata","4582103,35","431223,13"
2011S008223,1,"Ciutat Vella",2,"el Barri Gïtic",177101,Laietana,"0039 0039",Dimarts,Dm,Laboral,2011,12,Desembre,6,11,Mat°,"No hi ha causa mediata","4582140,75","431186,87"
2011S008497,1,"Ciutat Vella",2,"el Barri Gïtic",177101,Laietana,"0049 0049",Dissabte,Ds,Laboral,2011,12,Desembre,17,19,Tarda,"No hi ha causa mediata","4582258,82","431061,85"
2011S003080,1,"Ciutat Vella",2,"el Barri Gïtic",177101,Laietana,"0071 0071",Dissabte,Ds,Laboral,2011,5,Maig,7,2,Nit,"No hi ha causa mediata","4582394,39","430938,54"
