"Número d'expedient","Codi districte","Nom districte","NK barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia de setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció torn","Descripció causa vianant","Número de morts","Número de lesionats lleus","Número de lesionats greus","Número de víctimes","Número de vehicles implicats","Coordenada UTM (Y)","Coordenada UTM (X)"
2014S003352,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",70607,Casanova,"0148 0148",Dimecres,3,Laboral,2014,5,Maig,7,17,Tarda,Desconegut,0,1,0,1,1,"4582531,86","429360,16"
2014S007050,2,Eixample,24-2-7,"la Dreta de l'Eixample",268003,Provença,"0354 0354",Dimecres,3,Laboral,2014,10,Octubre,1,22,Nit,Desconegut,0,1,0,1,2,"4583631,17","430530,67"
2014S001390,2,Eixample,24-2-7,"la Dreta de l'Eixample",49509,Bruc,"0139 0139",Dimarts,2,Laboral,2014,2,Febrer,25,09,Matí,Desconegut,0,1,0,1,2,"4583436,46","430292,71"
2014S000688,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",268003,Provença,"0196 0196",Dimecres,3,Laboral,2014,1,Gener,29,13,Matí,Desconegut,0,2,0,2,3,"4582546,65","429426,31"
2014S007016,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",363809,Villarroel,"0153 0153",Dimarts,2,Laboral,2014,9,Setembre,30,21,Tarda,Desconegut,0,1,0,1,2,"4582313,38","429332,66"
2014S005796,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",245802,París,"0149 0149",Dijous,4,Laboral,2014,8,Agost,7,11,Matí,Desconegut,0,1,0,1,2,"4582772,90","429052,38"
2014S005284,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",245802,París,"0149 0149",Dimecres,3,Laboral,2014,7,Juliol,16,15,Tarda,Desconegut,0,1,0,1,2,"4582772,90","429052,38"
2014S003963,2,Eixample,24-2-7,"la Dreta de l'Eixample",176801,"Roger de Llúria","0102 0102",Dijous,4,Laboral,2014,5,Maig,29,14,Tarda,Desconegut,0,1,0,1,2,"4583267,78","430306,20"
2014S005063,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",144601,Diagonal,"0481 0483",Dimarts,2,Laboral,2014,7,Juliol,8,18,Tarda,Desconegut,0,1,0,1,2,"4582908,55","428643,51"
2014S008572,2,Eixample,24-2-7,"la Dreta de l'Eixample",191204,Mallorca,"0317 0317",Divendres,5,Laboral,2014,11,Novembre,21,21,Tarda,Desconegut,0,1,0,1,2,"4583417,46","430473,41"
2014S008248,2,Eixample,24-2-7,"la Dreta de l'Eixample",305100,"Sant Joan","0129 0129",Dilluns,1,Laboral,2014,11,Novembre,10,14,Tarda,"Desobeir el senyal del semàfor",0,2,0,2,1,"4583837,08","430441,89"
2014S006338,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",349706,"Comte d'Urgell","0282 0284",Dimecres,3,Laboral,2014,9,Setembre,3,08,Matí,Desconegut,0,2,0,2,2,"4582817,02","428704,26"
2014S007801,2,Eixample,24-2-7,"la Dreta de l'Eixample",90502,Còrsega,"0392 0392",Dilluns,1,Laboral,2014,10,Octubre,27,09,Matí,Desconegut,0,1,0,1,2,"4583668,79","430186,42"
2014S008908,2,Eixample,24-2-7,"la Dreta de l'Eixample",176801,"Roger de Llúria","0100 0100",Dimecres,3,Laboral,2014,12,Desembre,3,19,Tarda,Desconegut,0,1,0,1,2,"4583228,99","430339,58"
2014S007002,2,Eixample,24-2-7,"la Dreta de l'Eixample",18505,Aragó,"0311 0311",Dimarts,2,Laboral,2014,9,Setembre,30,14,Tarda,Desconegut,0,1,0,1,2,"4583178,45","430606,37"
2014S006402,2,Eixample,24-2-7,"la Dreta de l'Eixample",31300,Bailèn,"0135 0135",Divendres,5,Laboral,2014,9,Setembre,5,14,Tarda,Desconegut,0,0,0,0,2,"4583583,97","430522,23"
2014S004745,2,Eixample,24-2-7,"la Dreta de l'Eixample",31300,Bailèn,"0093 0093",Divendres,5,Laboral,2014,6,Juny,27,17,Tarda,Desconegut,0,2,0,2,2,"4583347,26","430754,31"
2014S001682,2,Eixample,24-2-7,"la Dreta de l'Eixample",31300,Bailèn,"0096 0096",Divendres,5,Laboral,2014,3,Març,7,10,Matí,Desconegut,0,1,0,1,2,"4583360,49","430772,13"
2014S004401,2,Eixample,24-2-7,"la Dreta de l'Eixample",31300,Bailèn,"0096 0096",Diumenge,7,Laboral,2014,6,Juny,15,08,Matí,Desconegut,0,1,0,1,2,"4583360,49","430772,13"
2014S001288,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",349706,"Comte d'Urgell","0202 0202",Divendres,5,Laboral,2014,2,Febrer,21,08,Matí,Desconegut,0,1,0,1,2,"4582400,97","429101,84"
2014S004548,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",349706,"Comte d'Urgell","0202 0202",Dijous,4,Laboral,2014,6,Juny,19,17,Tarda,Desconegut,0,1,0,1,2,"4582400,97","429101,84"
2014S007580,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",320704,Sarrià,"0008 0008",Dilluns,1,Laboral,2014,10,Octubre,20,11,Matí,Desconegut,0,1,0,1,2,"4582633,36","428713,52"
2014S007351,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",349706,"Comte d'Urgell","0237 0239",Diumenge,7,Laboral,2014,10,Octubre,12,23,Nit,Desconegut,0,1,0,1,2,"4582700,87","428760,48"
2014S004267,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",349706,"Comte d'Urgell","0253 0253",Dimarts,2,Laboral,2014,6,Juny,10,18,Tarda,"Desobeir el senyal del semàfor",0,2,0,2,1,"4582801,18","428661,48"
2014S006836,2,Eixample,24-2-7,"la Dreta de l'Eixample",49509,Bruc,"0091 0091",Dimarts,2,Laboral,2014,9,Setembre,23,18,Tarda,Desconegut,0,1,0,1,2,"4583184,47","430539,05"
2014S009522,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",363809,Villarroel,"0195 0195",Dimarts,2,Laboral,2014,12,Desembre,23,19,Tarda,"Creuar per fora pas de vianants",0,1,0,1,1,"4582542,59","429110,29"
