"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Descripció torn","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
"2011S008137    ",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",28000,Augusta,"0120 0120",Divendres,Dv,Laboral,2011,12,Desembre,2,Matí,10,"No és causa del  vianant",Ciclomotor,Home,Conductor,37,"Ferit lleu","4583862,16","428859,18"
"2011S006606    ",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",369306,Saragossa,"0143 0143",Diumenge,Dg,Laboral,2011,10,Octubre,2,Tarda,20,"No és causa del  vianant",Motocicleta,Dona,Vianant,23,"Ferit lleu","4584261,58","428617,29"
"2011S007146    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",76807,Sardenya,"0043 0043",Dissabte,Ds,Laboral,2011,10,Octubre,22,Matí,11,"No és causa del  vianant",Ciclomotor,Dona,Passatger,21,"Ferit lleu","4582766,88","432255,57"
"2011S007149    ",3,Sants-Montjuïc,11,"el Poble Sec",198702,"Francesc Ferrer i Guàrdia","0038 0044",Dissabte,Ds,Laboral,2011,10,Octubre,22,Matí,11,"No és causa del  vianant",Turismo,Dona,Conductor,60,"Ferit lleu","4580136,06","428579,53"
"2011S007149    ",3,Sants-Montjuïc,11,"el Poble Sec",198702,"Francesc Ferrer i Guàrdia","0038 0044",Dissabte,Ds,Laboral,2011,10,Octubre,22,Matí,11,"No és causa del  vianant",Turismo,Home,Passatger,71,"Ferit lleu","4580136,06","428579,53"
"2011S007159    ",3,Sants-Montjuïc,12,"la Marina del Prat Vermell",701265,"Litoral (Besòs)",001630000,Dissabte,Ds,Laboral,2011,10,Octubre,22,Tarda,21,"No és causa del  vianant",Turismo,Dona,Passatger,21,"Ferit lleu","4577512,76","427570,90"
"2011S007162    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",18200,"Antoni Maura","0010 0010",Dissabte,Ds,Laboral,2011,10,Octubre,22,Tarda,21,"No és causa del  vianant",Ciclomotor,Dona,Passatger,18,"Ferit lleu","4582071,67","431298,03"
"2011S007665    ",2,Eixample,10,"Sant Antoni",323203,Sepúlveda,"0006 0008",Dilluns,Dl,Laboral,2011,11,Novembre,14,Matí,09,"No és causa del  vianant",Turismo,Dona,Vianant,63,"Ferit lleu","4581031,02","429256,80"
"2011S007679    ",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",32700,Balmes,"0371 0371",Dilluns,Dl,Laboral,2011,11,Novembre,14,Tarda,14,"No és causa del  vianant",Turismo,Home,Conductor,41,"Ferit lleu","4584228,05","428236,11"
"2011S007680    ",2,Eixample,7,"la Dreta de l'Eixample",148307,Gràcia,"0045 0045",Dilluns,Dl,Laboral,2011,11,Novembre,14,Matí,11,"No és causa del  vianant",Turismo,Dona,Passatger,Desconegut,"Ferit lleu","4582787,30","430276,67"
