Número d expedient;Codi districte;Nom districte;Codi barri;Nom barri;Codi carrer;Nom carrer;Num postal caption;Descripció dia setmana;Dia setmana;Descripció tipus dia;NK Any;Mes de any;Nom mes;Dia de mes;Hora de dia;Descripció torn;Descripció causa vianant;Número de morts;Número de lesionats lleus;Número de lesionats greus;Número de víctimes;Número de vehicles implicats;Coordenada UTM (Y);Coordenada UTM (X)
2015S005627;2;Eixample;10;Sant Antoni;127704;Floridablanca;0126 0126;Dimarts;Dm;Laboral;2015;7;Juliol;21;16;Tarda;No és causa del  vianant;0;0;0;0;1;4581551,58;429980,54
2015S000493;2;Eixample;9;la Nova Esquerra de l'Eixample;289105;Rosselló;0101 0101;Dimarts;Dm;Laboral;2015;1;Gener;20;20;Tarda;No és causa del  vianant;0;1;0;1;2;4582252,79;428902,78
2015S002420;2;Eixample;9;la Nova Esquerra de l'Eixample;289105;Rosselló;0101 0101;Dilluns;Dl;Laboral;2015;3;Març;30;20;Tarda;No és causa del  vianant;0;1;0;1;2;4582252,79;428902,78
2015S009621;2;Eixample;10;Sant Antoni;70607;Casanova;0028 0028;Dijous;Dj;Laboral;2015;12;Desembre;17;13;Matí;No és causa del  vianant;0;1;0;1;2;4581850,47;430005,46
2015S006691;2;Eixample;10;Sant Antoni;223606;Muntaner;0003 0003;Dissabte;Ds;Laboral;2015;9;Setembre;5;14;Tarda;Desobeir el senyal del semàfor;0;1;0;1;1;4581874,69;430138,10
2015S004722;2;Eixample;9;la Nova Esquerra de l'Eixample;361406;Viladomat;0308 0308;Dijous;Dj;Laboral;2015;6;Juny;18;18;Tarda;No és causa del  vianant;0;1;0;1;2;4582538,51;428581,84
2015S006376;2;Eixample;9;la Nova Esquerra de l'Eixample;162002;Josep Tarradellas;0110 0112;Diumenge;Dg;Laboral;2015;8;Agost;23;19;Tarda;No és causa del  vianant;0;1;0;1;1;4582548,41;428502,01
2015S008035;2;Eixample;10;Sant Antoni;323203;Sepúlveda;0176 0176;Dissabte;Ds;Laboral;2015;10;Octubre;24;20;Tarda;No és causa del  vianant;0;1;0;1;1;4581835,33;430078,92
2015S009880;2;Eixample;10;Sant Antoni;87009;Comte Borrell;0085 0085;Diumenge;Dg;Laboral;2015;12;Desembre;27;12;Matí;No és causa del  vianant;0;1;0;1;1;4581353,60;429899,40
2015S009432;2;Eixample;9;la Nova Esquerra de l'Eixample;54509;Calàbria;0200 0200;Divendres;Dv;Laboral;2015;12;Desembre;11;21;Tarda;No és causa del  vianant;0;1;0;1;3;4581970,27;428952,46
2015S004560;2;Eixample;9;la Nova Esquerra de l'Eixample;349706;Comte d'Urgell;0059 0059;Dissabte;Ds;Laboral;2015;6;Juny;13;02;Nit;No és causa del  vianant;0;1;0;1;2;4581748,53;429692,64
2015S001765;2;Eixample;9;la Nova Esquerra de l'Eixample;349706;Comte d'Urgell;0073 0073;Dissabte;Ds;Laboral;2015;3;Març;7;02;Nit;No és causa del  vianant;0;0;0;0;1;4581795,10;429647,18
2015S004070;2;Eixample;9;la Nova Esquerra de l'Eixample;191204;Mallorca;0039 0039;Dimarts;Dm;Laboral;2015;5;Maig;26;13;Matí;No és causa del  vianant;0;1;0;1;2;4581828,96;428855,06
2015S007645;2;Eixample;9;la Nova Esquerra de l'Eixample;285807;Rocafort;0074 0074;Dilluns;Dl;Laboral;2015;10;Octubre;12;07;Matí;No és causa del  vianant;1;1;0;2;1;4581391,99;429331,28
2015S008553;2;Eixample;9;la Nova Esquerra de l'Eixample;191204;Mallorca;0084 0084;Dijous;Dj;Laboral;2015;11;Novembre;12;19;Tarda;No és causa del  vianant;0;2;0;2;2;4582052,06;429112,90
2015S006479;2;Eixample;9;la Nova Esquerra de l'Eixample;349706;Comte d'Urgell;0099 0099;Divendres;Dv;Laboral;2015;8;Agost;28;10;Matí;No és causa del  vianant;0;0;1;1;1;4581959,87;429486,25
2015S006113;2;Eixample;9;la Nova Esquerra de l'Eixample;184402;Llança;0025 0025;Diumenge;Dg;Laboral;2015;8;Agost;9;21;Tarda;No és causa del  vianant;0;1;0;1;2;4581383,49;428748,11
2015S005631;2;Eixample;9;la Nova Esquerra de l'Eixample;350308;València;0008 0014;Dimarts;Dm;Laboral;2015;7;Juliol;21;17;Tarda;No és causa del  vianant;0;1;0;1;2;4581407,32;428646,77
2015S006605;2;Eixample;9;la Nova Esquerra de l'Eixample;89004;Consell de Cent;0127 0127;Dimecres;Dc;Laboral;2015;9;Setembre;2;10;Matí;No és causa del  vianant;0;1;0;1;2;4581677,72;429272,85
2015S008062;2;Eixample;9;la Nova Esquerra de l'Eixample;285807;Rocafort;0180 0182;Dijous;Dj;Laboral;2015;10;Octubre;22;17;Tarda;No és causa del  vianant;0;0;0;0;2;4581910,43;428824,04
2015S002266;2;Eixample;9;la Nova Esquerra de l'Eixample;362001;Vilamarí;0067 0067;Dimarts;Dm;Laboral;2015;3;Març;24;14;Tarda;No és causa del  vianant;0;1;0;1;2;4581490,05;428831,01
2015S001540;2;Eixample;9;la Nova Esquerra de l'Eixample;169409;Corts Catalanes;0435 0435;Divendres;Dv;Laboral;2015;2;Febrer;27;11;Matí;No és causa del  vianant;0;1;0;1;2;4581317,84;429286,51
2015S002773;2;Eixample;9;la Nova Esquerra de l'Eixample;169409;Corts Catalanes;0445 0445;Dimarts;Dm;Laboral;2015;4;Abril;14;18;Tarda;No és causa del  vianant;0;0;1;1;2;4581358,27;429321,35
2015S008614;2;Eixample;9;la Nova Esquerra de l'Eixample;285807;Rocafort;0079 0079;Diumenge;Dg;Laboral;2015;11;Novembre;15;06;Matí;Altres;0;1;0;1;1;4581365,62;429321,26
2015S002269;2;Eixample;9;la Nova Esquerra de l'Eixample;184402;Llança;0054 0054;Dimecres;Dc;Laboral;2015;3;Març;25;08;Matí;No és causa del  vianant;0;1;0;1;2;4581547,86;428619,80
