"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Descripció torn","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
"2012S000766    ",7,Horta-Guinardó,42,"la Clota",302509,"Sant Genís a Horta","0019 0019",Dimecres,Dc,Laboral,2012,2,Febrer,1,Tarda,19,"No és causa del  vianant",Motocicleta,Home,Passatger,12,"Ferit lleu","4586921,38","429377,75"
"2012S001757    ",2,Eixample,8,"l'Antiga Esquerra de l'Eixample",245802,París,"0149 0149",Divendres,Dv,Laboral,2012,3,Març,9,Tarda,17,"No és causa del  vianant",Ciclomotor,Home,Passatger,23,"Ferit lleu","4582772,90","429052,38"
"2012S001769    ",2,Eixample,6,"la Sagrada Família",191204,Mallorca,"0404 0404",Dissabte,Ds,Laboral,2012,3,Març,10,Nit,00,"No és causa del  vianant",Ciclomotor,Dona,Conductor,29,"Ferit lleu","4583996,88","431101,37"
"2012S000786    ",2,Eixample,5,"el Fort Pienc",76807,Sardenya,"0091 0091",Divendres,Dv,Laboral,2012,2,Febrer,3,Matí,10,"No és causa del  vianant",Motocicleta,Home,Conductor,57,"Ferit lleu","4583083,62","431946,11"
"2012S000806    ",3,Sants-Montjuïc,15,Hostafrancs,89004,"Consell de Cent",0067U0067U,Divendres,Dv,Laboral,2012,2,Febrer,3,Tarda,16,"No és causa del  vianant",Bicicleta,Dona,Conductor,32,"Ferit lleu","4581173,79","428742,03"
"2012S000818    ",9,"Sant Andreu",60,"Sant Andreu",78700,Cinca,0057B0057B,Divendres,Dv,Laboral,2012,2,Febrer,3,Nit,22,"No és causa del  vianant",Ciclomotor,Home,Conductor,50,"Ferit lleu","4588126,98","432580,86"
"2012S000827    ",3,Sants-Montjuïc,17,"Sants - Badal",59105,Canalejas,"0101 0101",Dissabte,Ds,Laboral,2012,2,Febrer,4,Matí,12,"No és causa del  vianant",Turismo,Home,Vianant,81,"Ferit lleu","4580647,19","427238,20"
"2012S000831    ",3,Sants-Montjuïc,13,"la Marina de Port",169409,"Corts Catalanes","0170 0184",Dissabte,Ds,Laboral,2012,2,Febrer,4,Tarda,17,"No és causa del  vianant",Turismo,Home,Conductor,46,"Ferit lleu","4580082,62","428098,64"
"2012S000832    ",9,"Sant Andreu",59,"el Bon Pastor",701177,Monterrey,"0001 0001",Dissabte,Ds,Laboral,2012,2,Febrer,4,Tarda,15,"No és causa del  vianant",Turismo,Dona,Passatger,28,"Ferit lleu","4588493,80","433767,83"
"2012S000838    ",7,Horta-Guinardó,33,"el Baix Guinardó",197302,Marina,"0372 0372",Dissabte,Ds,Laboral,2012,2,Febrer,4,Tarda,20,"No és causa del  vianant",Ciclomotor,Dona,Passatger,17,"Ferit lleu","4584674,15","430643,89"
"2012S000289    ",6,Gràcia,31,"la Vila de Gràcia",310802,"Sant Salvador","0123 0123",Divendres,Dv,Laboral,2012,1,Gener,13,Tarda,17,"No és causa del  vianant",Motocicleta,Home,Conductor,37,"Ferit lleu","4584660,36","429571,85"
"2012S000293    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",350308,València,"0587 0587",Divendres,Dv,Laboral,2012,1,Gener,13,Tarda,17,"No és causa del  vianant",Motocicleta,Home,Conductor,33,"Ferit lleu","4584672,98","431951,64"
"2012S000308    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",197302,Marina,"0102 0102",Dissabte,Ds,Laboral,2012,1,Gener,14,Tarda,21,"No és causa del  vianant",Ciclomotor,Dona,Conductor,29,"Ferit lleu","4583050,61","432212,66"
"2012S001309    ",4,"Les Corts",19,"les Corts",66508,"Carles III","0082 0084",Dimecres,Dc,Laboral,2012,2,Febrer,22,Tarda,20,"No és causa del  vianant",Motocicleta,Home,Conductor,22,"Ferit lleu","4582175,36","427144,34"
"2012S001309    ",4,"Les Corts",19,"les Corts",66508,"Carles III","0082 0084",Dimecres,Dc,Laboral,2012,2,Febrer,22,Tarda,20,"No és causa del  vianant",Motocicleta,Dona,Passatger,18,"Ferit lleu","4582175,36","427144,34"
"2012S001314    ",2,Eixample,7,"la Dreta de l'Eixample",335100,Tetuan,"0035 0035",Dijous,Dj,Laboral,2012,2,Febrer,23,Matí,08,"No és causa del  vianant",Motocicleta,Home,Conductor,51,"Ferit lleu","4583219,68","431229,48"
"2012S000857    ",7,Horta-Guinardó,37,"el Carmel",55002,"Calderón de la Barca","0033 0033",Diumenge,Dg,Laboral,2012,2,Febrer,5,Tarda,20,"No és causa del  vianant",Autobús,Dona,Passatger,19,"Ferit lleu","4586183,40","429518,96"
"2012S000871    ",2,Eixample,10,"Sant Antoni",361406,Viladomat,"0059 0059",Dilluns,Dl,Laboral,2012,2,Febrer,6,Tarda,14,"Creuar per fora pas de vianants",Motocicleta,Dona,Conductor,35,"Ferit lleu","4581213,14","429848,77"
"2012S000326    ",3,Sants-Montjuïc,18,Sants,366206,Viriat,"0053 0053",Dilluns,Dl,Laboral,2012,1,Gener,16,Matí,09,"No és causa del  vianant",Ciclomotor,Home,Conductor,29,"Ferit lleu","4581588,87","428306,42"
"2012S000341    ",3,Sants-Montjuïc,12,"la Marina del Prat Vermell",370000,"Número 1 Zona Franca","0002 0006",Dilluns,Dl,Laboral,2012,1,Gener,16,Tarda,19,"No és causa del  vianant",Turismo,Dona,Conductor,33,"Ferit lleu","4577608,48","428534,49"
"2012S000351    ",2,Eixample,8,"l'Antiga Esquerra de l'Eixample",18505,Aragó,"0205 0205",Dimarts,Dm,Laboral,2012,1,Gener,17,Matí,09,"No és causa del  vianant",Motocicleta,Home,Conductor,41,"Ferit lleu","4582427,74","429840,16"
"2012S000353    ",1,"Ciutat Vella",3,"la Barceloneta",701265,"Litoral (Besòs)",000960000,Dimarts,Dm,Laboral,2012,1,Gener,17,Matí,08,"No és causa del  vianant",Bicicleta,Home,Conductor,29,"Ferit lleu","4581787,63","432200,21"
"2012S001357    ",3,Sants-Montjuïc,12,"la Marina del Prat Vermell",701265,"Litoral (Besòs)",001300000,Divendres,Dv,Laboral,2012,2,Febrer,24,Matí,12,"No és causa del  vianant",Turismo,Dona,Passatger,66,"Ferit lleu","4579227,37","430303,25"
"2012S000364    ",9,"Sant Andreu",57,"la Trinitat Vella",120807,Favència,"0419 0419",Dimarts,Dm,Laboral,2012,1,Gener,17,Tarda,19,"No és causa del  vianant",Motocicleta,Dona,Passatger,24,"Ferit lleu","4588928,81","432442,83"
"2012S000382    ",2,Eixample,7,"la Dreta de l'Eixample",148307,Gràcia,"0104 0104",Dimarts,Dm,Laboral,2012,1,Gener,17,Matí,13,"No és causa del  vianant",Ciclomotor,Dona,Conductor,25,"Ferit lleu","4583269,19","429924,21"
