"Número d'expedient","Codi districte","Nom districte","NK barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia de setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció torn","Descripció causa vianant","Número de morts","Número de lesionats lleus","Número de lesionats greus","Número de víctimes","Número de vehicles implicats","Coordenada UTM (Y)","Coordenada UTM (X)"
2011S008004,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",46409,Born,"0036 0036",Dissabte,6,Laboral,2011,11,Novembre,26,09,Matí,Desconegut,0,0,0,0,1,"4581845,75","431721,25"
2011S001351,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",85309,Comercial,"0011 0011",Dissabte,6,Laboral,2011,2,Febrer,26,12,Matí,Desconegut,0,1,0,1,2,"4581820,10","431755,30"
2011S002027,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",163504,"Isabel II","0002 0002",Divendres,5,Laboral,2011,3,Març,25,08,Matí,Desconegut,0,1,0,1,2,"4581414,99","431649,18"
2011S007810,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",163504,"Isabel II","0002 0002",Divendres,5,Laboral,2011,11,Novembre,18,16,Tarda,Desconegut,0,0,0,0,2,"4581414,99","431649,18"
2011S005973,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",163504,"Isabel II","0004 0004",Dissabte,6,Laboral,2011,9,Setembre,10,07,Matí,Desconegut,0,0,0,0,6,"4581428,97","431658,03"
2011S001275,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",198203,"Marquès de l'Argentera","0001 0001",Dimecres,3,Laboral,2011,2,Febrer,23,18,Tarda,Desconegut,0,3,0,3,1,"4581632,41","431743,22"
2011S008177,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",240707,Palau,"0014 0014",Diumenge,7,Laboral,2011,12,Desembre,4,01,Nit,Desconegut,0,1,0,1,2,"4581626,37","431733,51"
2011S007470,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",240707,Palau,"0014 0014",Diumenge,7,Laboral,2011,11,Novembre,6,19,Tarda,Desconegut,0,0,0,0,2,"4581626,37","431733,51"
2011S005929,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",240707,Palau,"9999 9999",Dijous,4,Laboral,2011,9,Setembre,8,17,Tarda,Desconegut,0,1,0,1,2,"4581571,40","431732,03"
2011S004717,1,"Ciutat Vella",13-1-3,"la Barceloneta",31900,Balboa,"0009 0009",Dilluns,1,Laboral,2011,7,Juliol,11,05,Nit,Desconegut,0,1,0,1,2,"4581499,45","432103,44"
2011S000873,1,"Ciutat Vella",13-1-3,"la Barceloneta",248050,"Pau Vila","0001 0005",Dimarts,2,Laboral,2011,2,Febrer,8,21,Tarda,"Transitar a peu per la calçada",0,1,0,1,1,"4581384,15","431917,36"
2011S008223,1,"Ciutat Vella",12-1-2,"el Barri Gòtic",177101,Laietana,"0039 0039",Dimarts,2,Laboral,2011,12,Desembre,6,11,Matí,Desconegut,0,2,0,2,2,"4581936,52","431093,13"
2011S000889,1,"Ciutat Vella",13-1-3,"la Barceloneta",700654,Litoral,"9991 9991",Diumenge,7,Laboral,2011,2,Febrer,6,01,Nit,Desconegut,0,2,0,2,2,"4581962,86","432678,94"
2011S003696,1,"Ciutat Vella",13-1-3,"la Barceloneta",700813,"Doctor Aiguader","0088 0088",Dilluns,1,Laboral,2011,5,Maig,30,23,Nit,Desconegut,0,1,0,1,2,"4581871,98","432611,00"
2011S007026,1,"Ciutat Vella",13-1-3,"la Barceloneta",701265,"Litoral (Besòs)",000910000,Dimarts,2,Laboral,2011,10,Octubre,18,16,Tarda,Desconegut,0,2,0,2,3,"4581851,03","432530,22"
2011S004317,1,"Ciutat Vella",13-1-3,"la Barceloneta",701265,"Litoral (Besòs)",000910000,Dijous,4,Laboral,2011,6,Juny,23,14,Tarda,Desconegut,0,2,0,2,3,"4581851,03","432530,22"
2011S008688,1,"Ciutat Vella",13-1-3,"la Barceloneta",701265,"Litoral (Besòs)",000910000,Divendres,5,Laboral,2011,12,Desembre,23,18,Tarda,Desconegut,0,1,0,1,2,"4581851,03","432530,22"
2011S004160,1,"Ciutat Vella",13-1-3,"la Barceloneta",701266,"Litoral (Llobregat)",000920000,Divendres,5,Laboral,2011,6,Juny,17,18,Tarda,Desconegut,0,1,0,1,2,"4581805,93","432439,77"
2011S008144,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",177101,Laietana,"0050 0050",Divendres,5,Laboral,2011,12,Desembre,2,14,Tarda,Desconegut,0,1,0,1,2,"4582047,67","431016,96"
2011S007833,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",342900,Trafalgar,"0070 0070",Dissabte,6,Laboral,2011,11,Novembre,19,21,Tarda,Desconegut,0,4,0,4,3,"4582439,99","431349,44"
2011S002469,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",342900,Trafalgar,"0082 0082",Diumenge,7,Laboral,2011,4,Abril,10,12,Matí,"Desobeir el senyal del semàfor",0,1,0,1,1,"4582478,50","431429,63"
2011S001335,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",286504,"Roger de Flor","0025 0025",Divendres,5,Laboral,2011,2,Febrer,25,17,Tarda,Desconegut,0,1,0,1,2,"4582568,33","431595,00"
2011S001028,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",362409,Vilanova,"0002 0010",Dilluns,1,Laboral,2011,2,Febrer,14,20,Tarda,Desconegut,0,1,0,1,1,"4582582,65","431545,99"
2011S004378,1,"Ciutat Vella",14-1-4,"Sant Pere, Santa Caterina i la Ribera",177101,Laietana,"0006 0006",Dilluns,1,Laboral,2011,6,Juny,27,10,Matí,"Desobeir el senyal del semàfor",0,1,0,1,1,"4581521,08","431529,89"
2011S001428,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",100800,Diputació,"0146 0146",Dimecres,3,Laboral,2011,2,Febrer,16,18,Tarda,Desconegut,0,1,0,1,2,"4581594,16","429524,35"
2011S007592,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",361406,Viladomat,"0166 0166",Divendres,5,Laboral,2011,11,Novembre,11,09,Matí,Desconegut,0,1,0,1,2,"4581655,34","429162,36"
2011S006533,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",18505,Aragó,"0124 0124",Dijous,4,Laboral,2011,9,Setembre,29,17,Tarda,Desconegut,0,1,0,1,2,"4581788,96","429343,38"
