,NUMERO EXPEDIENTE,TIPO ACCIDENTE
183,2011S001581,Col.lisió lateral
184,2011S006047,Abast
185,2011S003019,Col.lisió frontal
186,2011S003853,Caiguda (dues rodes)
187,2011S007898,Caiguda (dues rodes)
188,2011S004362,Caiguda (dues rodes)
189,2011S002757,Col.lisió lateral
190,2011S005447,Col.lisió lateral
191,2011S002398,Caiguda (dues rodes)
192,2011S008033,Col.lisió lateral
193,2011S001275,Atropellament
194,2011S003530,Col.lisió frontal
195,2011S007544,Col.lisió fronto-lateral
196,2011S002723,Col.lisió fronto-lateral
197,2011S006277,Atropellament
198,2011S001214,Col.lisió fronto-lateral
199,2011S005988,Col.lisió lateral
200,2011S000695,Col.lisió lateral
201,2011S005550,Xoc contra element estàtic
202,2011S008497,Caiguda (dues rodes)
203,2011S003080,Col.lisió lateral
204,2011S006910,Col.lisió lateral
205,2011S004110,Abast
206,2011S004004,Atropellament
207,2011S004425,Atropellament
208,2011S003460,Col.lisió lateral
209,2011S003280,Abast
210,2011S001340,Col.lisió lateral
211,2011S008688,Abast
212,2011S000840,Abast
213,2011S004785,Atropellament
214,2011S001446,Caiguda (dues rodes)
215,2011S002469,Atropellament
216,2011S004416,Col.lisió fronto-lateral
217,2011S002701,Col.lisió lateral
218,2011S002338,Col.lisió lateral
219,2011S001028,Atropellament
220,2011S008597,Caiguda (dues rodes)
221,2011S004426,Abast
222,2011S005998,Xoc contra element estàtic
223,2011S001287,Col.lisió fronto-lateral
224,2011S001346,Abast
225,2011S003230,Abast
226,2011S006216,Caiguda interior vehicle
227,2011S001961,Caiguda (dues rodes)
228,2011S000700,Col.lisió fronto-lateral
229,2011S003153,Atropellament
230,2011S007162,Col.lisió lateral
231,2011S003434,Abast
232,2011S001681,Col.lisió lateral
233,2011S000392,Xoc contra element estàtic
234,2011S004164,Col.lisió lateral
235,2011S000446,Col.lisió fronto-lateral
236,2011S005282,Col.lisió lateral
237,2011S005767,Col.lisió fronto-lateral
238,2011S003443,Col.lisió lateral
239,2011S004063,Col.lisió fronto-lateral
240,2011S007642,Abast multiple
241,2011S001027,Col.lisió fronto-lateral
242,2011S008038,Abast
243,2011S004617,Abast
244,2011S002136,Caiguda (dues rodes)
245,2011S000844,Xoc contra element estàtic
246,2011S002016,Atropellament
247,2011S007951,Col.lisió fronto-lateral
248,2011S005976,Caiguda (dues rodes)
249,2011S001752,Xoc contra element estàtic
250,2011S004019,Col.lisió fronto-lateral
251,2011S001633,Abast
252,2011S000929,Atropellament
253,2011S001765,Xoc contra element estàtic
254,2011S007456,Col.lisió fronto-lateral
255,2011S002040,Abast multiple
256,2011S000426,Col.lisió lateral
257,2011S004168,Col.lisió lateral
258,2011S007314,Col.lisió lateral
259,2011S008056,Col.lisió fronto-lateral
260,2011S000146,Atropellament
261,2011S003922,Col.lisió lateral
262,2011S006438,Abast
263,2011S007992,Col.lisió lateral
264,2011S007377,Xoc contra element estàtic
265,2011S001888,Col.lisió lateral
266,2011S004212,Abast
267,2011S000437,Altres
268,2011S003617,Altres
269,2011S003617,Col.lisió lateral
270,2011S001244,Atropellament
271,2011S002133,Col.lisió fronto-lateral
272,2011S005369,Xoc contra element estàtic
273,2011S003620,Col.lisió lateral
274,2011S001628,Col.lisió lateral
275,2011S003985,Atropellament
276,2011S005057,Col.lisió fronto-lateral
277,2011S005225,Col.lisió lateral
278,2011S008515,Atropellament
279,2011S002664,Col.lisió fronto-lateral
280,2011S000106,Col.lisió lateral
281,2011S002993,Col.lisió lateral
282,2011S007048,Atropellament
283,2011S000631,Abast
284,2011S006941,Col.lisió lateral
285,2011S004205,Caiguda (dues rodes)
286,2011S006446,Atropellament
287,2011S004964,Col.lisió fronto-lateral
288,2011S007141,Abast
289,2011S008658,Xoc contra element estàtic
290,2011S006257,Col.lisió lateral
291,2011S002999,Abast
292,2011S000134,Col.lisió lateral
293,2011S008512,Caiguda (dues rodes)
294,2011S003771,Col.lisió lateral
295,2011S004548,Col.lisió fronto-lateral
296,2011S005399,Col.lisió lateral
297,2011S001077,Caiguda (dues rodes)
298,2011S007109,Col.lisió lateral
299,2011S007205,Xoc contra element estàtic
300,2011S006454,Caiguda (dues rodes)
301,2011S004443,Col.lisió lateral
302,2011S007725,Col.lisió fronto-lateral
303,2011S002405,Abast multiple
304,2011S004585,Abast
305,2011S007673,Xoc contra element estàtic
306,2011S001140,Caiguda interior vehicle
307,2011S003638,Col.lisió fronto-lateral
308,2011S005139,Xoc contra element estàtic
309,2011S002647,Atropellament
310,2011S005923,Caiguda (dues rodes)
311,2011S006211,Col.lisió fronto-lateral
312,2011S000756,Atropellament
313,2011S000407,Caiguda (dues rodes)
314,2011S001825,Col.lisió lateral
315,2011S005826,Col.lisió lateral
316,2011S008427,Col.lisió lateral
317,2011S003752,Col.lisió lateral
318,2011S005956,Abast
319,2011S000339,Col.lisió lateral
320,2011S000129,Col.lisió lateral
321,2011S006138,Abast
322,2011S007732,Col.lisió lateral
323,2011S006751,Caiguda (dues rodes)
324,2011S003323,Xoc contra element estàtic
325,2011S008741,Col.lisió lateral
326,2011S004206,Col.lisió lateral
327,2011S000583,Atropellament
328,2011S001036,Col.lisió lateral
329,2011S003098,Xoc contra element estàtic
330,2011S001481,Col.lisió lateral
331,2011S008460,Col.lisió lateral
332,2011S003786,Col.lisió fronto-lateral
333,2011S007909,Caiguda (dues rodes)
334,2011S004565,Col.lisió lateral
335,2011S007236,Caiguda (dues rodes)
336,2011S007084,Col.lisió fronto-lateral
337,2011S007104,Abast
338,2011S004703,Caiguda (dues rodes)
339,2011S005408,Xoc contra element estàtic
340,2011S000390,Col.lisió fronto-lateral
341,2011S000801,Caiguda (dues rodes)
342,2011S008136,Col.lisió lateral
343,2011S005021,Col.lisió lateral
344,2011S001590,Col.lisió fronto-lateral
345,2011S008207,Xoc contra element estàtic
346,2011S008749,Xoc contra element estàtic
347,2011S006060,Col.lisió lateral
348,2011S005179,Col.lisió lateral
349,2011S006186,Xoc contra element estàtic
350,2011S003475,Col.lisió fronto-lateral
351,2011S003503,Col.lisió lateral
352,2011S003022,Atropellament
353,2011S007917,Caiguda interior vehicle
354,2011S005829,Col.lisió lateral
355,2011S005383,Col.lisió lateral
356,2011S000396,Atropellament
357,2011S004697,Col.lisió lateral
358,2011S004724,Abast
359,2011S004013,Caiguda (dues rodes)
360,2011S004013,Xoc contra element estàtic
361,2011S007798,Col.lisió lateral
362,2011S002397,Caiguda (dues rodes)
363,2011S002065,Col.lisió lateral
364,2011S003881,Col.lisió lateral
365,2011S002342,Col.lisió fronto-lateral
366,2011S000128,Col.lisió lateral
367,2011S008430,Abast
368,2011S000658,Caiguda (dues rodes)
369,2011S003814,Xoc contra element estàtic
370,2011S000013,Col.lisió fronto-lateral
371,2011S004251,Atropellament
372,2011S008570,Col.lisió lateral
373,2011S002551,Caiguda (dues rodes)
374,2011S008843,Col.lisió lateral
375,2011S008018,Col.lisió lateral
376,2011S004230,Col.lisió lateral
377,2011S006618,Abast
378,2011S005697,Col.lisió fronto-lateral
379,2011S000099,Atropellament
380,2011S002278,Caiguda (dues rodes)
381,2011S003426,Col.lisió fronto-lateral
382,2011S003645,Altres
383,2011S008796,Col.lisió lateral
384,2011S008131,Col.lisió lateral
385,2011S000782,Col.lisió fronto-lateral
386,2011S000607,Atropellament
387,2011S005393,Atropellament
388,2011S000768,Col.lisió fronto-lateral
389,2011S006515,Caiguda (dues rodes)
390,2011S008242,Caiguda (dues rodes)
391,2011S005335,Atropellament
392,2011S007249,Abast
393,2011S007059,Col.lisió lateral
394,2011S008052,Atropellament
395,2011S000182,Col.lisió lateral
396,2011S002611,Col.lisió lateral
397,2011S000803,Col.lisió fronto-lateral
398,2011S003987,Abast
399,2011S007094,Caiguda (dues rodes)
400,2011S005669,Caiguda (dues rodes)
401,2011S004414,Col.lisió lateral
402,2011S001424,Col.lisió lateral
403,2011S004353,Col.lisió fronto-lateral
404,2011S002872,Caiguda (dues rodes)
405,2011S001871,Col.lisió fronto-lateral
406,2011S005421,Col.lisió lateral
407,2011S001232,Atropellament
408,2011S000629,Xoc contra element estàtic
409,2011S002747,Col.lisió lateral
410,2011S001088,Col.lisió fronto-lateral
411,2011S001661,Abast
412,2011S002194,Col.lisió lateral
413,2011S007242,Col.lisió fronto-lateral
414,2011S008477,Abast multiple
415,2011S002156,Abast
416,2011S004561,Caiguda (dues rodes)
417,2011S002294,Col.lisió lateral
418,2011S003233,Abast
419,2011S000323,Abast multiple
420,2011S003796,Col.lisió fronto-lateral
421,2011S004101,Caiguda (dues rodes)
422,2011S004101,Atropellament
423,2011S007424,Col.lisió lateral
424,2011S000908,Abast
425,2011S007174,Col.lisió lateral
426,2011S001299,Col.lisió lateral
427,2011S002730,Abast
428,2011S001823,Col.lisió lateral
429,2011S004419,Col.lisió lateral
430,2011S008105,Col.lisió fronto-lateral
431,2011S004540,Atropellament
432,2011S005319,Abast
433,2011S005247,Xoc contra element estàtic
434,2011S004963,Col.lisió fronto-lateral
435,2011S006228,Caiguda interior vehicle
436,2011S008268,Abast
437,2011S008436,Abast
438,2011S008566,Col.lisió fronto-lateral
439,2011S007896,Col.lisió fronto-lateral
440,2011S001543,Col.lisió lateral
441,2011S004195,Col.lisió fronto-lateral
442,2011S001647,Caiguda interior vehicle
443,2011S003641,Abast
444,2011S008839,Xoc contra element estàtic
445,2011S008727,Xoc contra element estàtic
446,2011S006214,Abast
