,NUMERO EXPEDIENTE,TIPO ACCIDENTE
21762,2013S008759,Atropellament
21763,2013S005287,Col.lisió fronto-lateral
21764,2013S003885,Col.lisió fronto-lateral
21765,2013S002140,Caiguda (dues rodes)
21766,2013S005293,Col.lisió lateral
21767,2013S001254,Abast
21768,2013S005408,Col.lisió fronto-lateral
21769,2013S007921,Col.lisió frontal
21770,2013S001433,Col.lisió lateral
21771,2013S006461,Atropellament
21772,2013S008049,Caiguda (dues rodes)
21773,2013S005161,Atropellament
21774,2013S000408,Atropellament
21775,2013S008085,Col.lisió fronto-lateral
21776,2013S005074,Abast
21777,2013S007573,Caiguda (dues rodes)
21778,2013S009456,Xoc contra element estàtic
21779,2013S008622,Abast
21780,2013S009424,Col.lisió lateral
21781,2013S004861,Atropellament
21782,2013S007072,Abast
21783,2013S007945,Atropellament
21784,2013S008295,Atropellament
21785,2013S006085,Col.lisió lateral
21786,2013S003820,Abast
21787,2013S003933,Abast
21788,2013S001828,Atropellament
21789,2013S008880,Atropellament
21790,2013S001770,Col.lisió fronto-lateral
21791,2013S007394,Xoc contra element estàtic
21792,2013S003644,Atropellament
21793,2013S007481,Col.lisió lateral
21794,2013S000808,Xoc contra element estàtic
21795,2013S000196,Col.lisió fronto-lateral
21796,2013S007329,Caiguda (dues rodes)
21797,2013S005484,Col.lisió fronto-lateral
21798,2013S006722,Caiguda (dues rodes)
21799,2013S004046,Col.lisió fronto-lateral
21800,2013S002106,Caiguda (dues rodes)
21801,2013S003101,Abast
21802,2013S007983,Col.lisió lateral
21803,2013S005904,Atropellament
21804,2013S002552,Col.lisió fronto-lateral
21805,2013S006743,Altres
21806,2013S000814,Atropellament
21807,2013S004725,Abast
21808,2013S003262,Col.lisió lateral
21809,2013S001013,Altres
21810,2013S007227,Caiguda (dues rodes)
21811,2013S008881,Col.lisió fronto-lateral
21812,2013S002336,Caiguda (dues rodes)
21813,2013S006018,Atropellament
21814,2013S006533,Caiguda (dues rodes)
21815,2013S006533,Xoc contra element estàtic
21816,2013S006756,Col.lisió fronto-lateral
21817,2013S005844,Col.lisió fronto-lateral
21818,2013S002212,Atropellament
21819,2013S009221,Xoc contra element estàtic
21820,2013S002621,Xoc contra element estàtic
21821,2013S006653,Col.lisió lateral
21822,2013S005278,Col.lisió lateral
21823,2013S006468,Col.lisió fronto-lateral
21824,2013S002676,Col.lisió lateral
21825,2013S003123,Xoc contra element estàtic
21826,2013S005063,Abast
21827,2013S006541,Caiguda (dues rodes)
21828,2013S001225,Abast multiple
21829,2013S008701,Caiguda (dues rodes)
21830,2013S001080,Xoc contra element estàtic
21831,2013S009252,Col.lisió lateral
21832,2013S009362,Atropellament
21833,2013S006687,Col.lisió fronto-lateral
21834,2013S006070,Col.lisió fronto-lateral
21835,2013S002754,Xoc contra element estàtic
21836,2013S007557,Col.lisió fronto-lateral
21837,2013S007870,Abast
21838,2013S009108,Col.lisió fronto-lateral
21839,2013S003577,Abast
21840,2013S006851,Col.lisió lateral
21841,2013S001344,Col.lisió fronto-lateral
21842,2013S000393,Col.lisió lateral
21843,2013S008331,Altres
21844,2013S005222,Caiguda (dues rodes)
21845,2013S005190,Col.lisió fronto-lateral
21846,2013S004659,Col.lisió lateral
21847,2013S005144,Col.lisió lateral
21848,2013S001238,Abast
21849,2013S007415,Abast
21850,2013S004288,Col.lisió fronto-lateral
21851,2013S001891,Atropellament
21852,2013S004512,Col.lisió fronto-lateral
21853,2013S000353,Col.lisió fronto-lateral
21854,2013S000885,Col.lisió lateral
21855,2013S000471,Abast
21856,2013S007104,Abast
21857,2013S008504,Col.lisió lateral
21858,2013S004428,Caiguda interior vehicle
21859,2013S003652,Col.lisió lateral
21860,2013S003752,Abast
21861,2013S007543,Col.lisió lateral
21862,2013S008782,Abast
21863,2013S007436,Caiguda (dues rodes)
21864,2013S001406,Col.lisió fronto-lateral
21865,2013S007993,Abast
21866,2013S007003,Col.lisió fronto-lateral
21867,2013S007108,Caiguda interior vehicle
21868,2013S007252,Abast
21869,2013S004466,Col.lisió lateral
21870,2013S002777,Atropellament
21871,2013S000690,Caiguda (dues rodes)
21872,2013S006487,Atropellament
21873,2013S001798,Col.lisió fronto-lateral
21874,2013S006570,Caiguda (dues rodes)
21875,2013S008780,Col.lisió lateral
21876,2013S007140,Col.lisió fronto-lateral
21877,2013S004128,Col.lisió frontal
21878,2013S007045,Col.lisió fronto-lateral
21879,2013S000548,Abast
21880,2013S008571,Abast
21881,2013S007022,Col.lisió lateral
21882,2013S008635,Col.lisió lateral
21883,2013S004633,Abast
21884,2013S001555,Caiguda (dues rodes)
21885,2013S001436,Atropellament
21886,2013S005494,Col.lisió fronto-lateral
21887,2013S001584,Caiguda (dues rodes)
21888,2013S009021,Col.lisió lateral
21889,2013S003991,Col.lisió fronto-lateral
21890,2013S004989,Abast
21891,2013S006622,Col.lisió fronto-lateral
21892,2013S000287,Col.lisió fronto-lateral
21893,2013S005948,Abast
21894,2013S009042,Col.lisió lateral
21895,2013S000103,Col.lisió lateral
21896,2013S001125,Abast
21897,2013S009010,Col.lisió lateral
21898,2013S007721,Col.lisió lateral
21899,2013S005207,Col.lisió lateral
21900,2013S003138,Atropellament
21901,2013S008658,Atropellament
21902,2013S002280,Atropellament
21903,2013S004884,Col.lisió lateral
21904,2013S002272,Altres
21905,2013S000111,Col.lisió fronto-lateral
21906,2013S001714,Col.lisió lateral
21907,2013S001714,Atropellament
21908,2013S001603,Caiguda (dues rodes)
21909,2013S004196,Col.lisió fronto-lateral
21910,2013S001021,Caiguda (dues rodes)
21911,2013S005909,Col.lisió lateral
21912,2013S000404,Col.lisió lateral
21913,2013S007531,Col.lisió fronto-lateral
21914,2013S006396,Abast
21915,2013S007618,Col.lisió fronto-lateral
21916,2013S008444,Atropellament
21917,2013S000763,Col.lisió lateral
21918,2013S006789,Col.lisió fronto-lateral
21919,2013S001272,Abast
21920,2013S008882,Atropellament
21921,2013S003556,Abast
21922,2013S001567,Col.lisió fronto-lateral
21923,2013S004456,Col.lisió lateral
21924,2013S006291,Col.lisió fronto-lateral
21925,2013S004581,Col.lisió lateral
21926,2013S000746,Xoc contra element estàtic
21927,2013S002315,Col.lisió lateral
21928,2013S002742,Col.lisió lateral
21929,2013S008148,Abast
21930,2013S005647,Abast
21931,2013S000997,Col.lisió fronto-lateral
21932,2013S004664,Col.lisió lateral
21933,2013S000237,Col.lisió lateral
21934,2013S004696,Xoc contra element estàtic
21935,2013S005009,Col.lisió lateral
21936,2013S007025,Caiguda (dues rodes)
21937,2013S005981,Col.lisió fronto-lateral
21938,2013S009463,Caiguda (dues rodes)
21939,2013S000527,Xoc contra element estàtic
21940,2013S007792,Atropellament
21941,2013S000713,Col.lisió fronto-lateral
21942,2013S003232,Xoc contra element estàtic
21943,2013S001051,Col.lisió fronto-lateral
21944,2013S003076,Caiguda (dues rodes)
21945,2013S001400,Caiguda (dues rodes)
21946,2013S004933,Col.lisió lateral
21947,2013S005181,Caiguda (dues rodes)
21948,2013S007491,Col.lisió fronto-lateral
21949,2013S009274,Abast
21950,2013S007086,Atropellament
21951,2013S007731,Abast
21952,2013S008096,Col.lisió lateral
21953,2013S006122,Col.lisió lateral
21954,2013S006496,Atropellament
21955,2013S007185,Col.lisió lateral
21956,2013S006782,Caiguda (dues rodes)
21957,2013S002186,Atropellament
21958,2013S000908,Abast
21959,2013S005541,Abast
21960,2013S005279,Abast
21961,2013S002723,Col.lisió fronto-lateral
21962,2013S003074,Col.lisió lateral
21963,2013S005641,Caiguda interior vehicle
21964,2013S003096,Altres
21965,2013S007783,Abast
21966,2013S002869,Col.lisió lateral
21967,2013S007192,Abast
21968,2013S005272,Abast
21969,2013S007459,Abast multiple
21970,2013S002571,Col.lisió fronto-lateral
21971,2013S004254,Caiguda (dues rodes)
21972,2013S000354,Caiguda (dues rodes)
21973,2013S000497,Abast
21974,2013S007718,Caiguda (dues rodes)
21975,2013S004020,Col.lisió fronto-lateral
21976,2013S001608,Col.lisió fronto-lateral
21977,2013S000277,Xoc contra element estàtic
21978,2013S008663,Col.lisió lateral
21979,2013S004541,Col.lisió lateral
21980,2013S003890,Abast
21981,2013S007832,Col.lisió fronto-lateral
21982,2013S003031,Abast multiple
21983,2013S006693,Col.lisió lateral
21984,2013S001366,Caiguda interior vehicle
21985,2013S002979,Col.lisió lateral
21986,2013S007128,Abast
21987,2013S009073,Col.lisió lateral
21988,2013S001105,Caiguda (dues rodes)
21989,2013S001981,Atropellament
21990,2013S000211,Col.lisió lateral
21991,2013S002549,Col.lisió lateral
21992,2013S006166,Col.lisió lateral
21993,2013S001497,Caiguda (dues rodes)
21994,2013S007727,Abast
21995,2013S008707,Col.lisió fronto-lateral
21996,2013S005528,Col.lisió lateral
21997,2013S008899,Col.lisió lateral
21998,2013S007585,Atropellament
21999,2013S008081,Abast
22000,2013S000350,Col.lisió lateral
22001,2013S003341,Col.lisió lateral
22002,2013S005019,Abast
22003,2013S004952,Col.lisió fronto-lateral
22004,2013S007389,Caiguda (dues rodes)
22005,2013S008059,Col.lisió fronto-lateral
22006,2013S005944,Col.lisió lateral
22007,2013S006252,Abast
22008,2013S004611,Caiguda (dues rodes)
22009,2013S000957,Caiguda (dues rodes)
22010,2013S005619,Abast
22011,2013S003917,Col.lisió lateral
22012,2013S008840,Abast
22013,2013S003877,Col.lisió fronto-lateral
22014,2013S005852,Abast
22015,2013S007099,Col.lisió lateral
22016,2013S002943,Col.lisió lateral
22017,2013S006210,Col.lisió lateral
22018,2013S005322,Col.lisió fronto-lateral
22019,2013S005306,Col.lisió fronto-lateral
22020,2013S002089,Col.lisió lateral
22021,2013S008406,Col.lisió fronto-lateral
22022,2013S003278,Caiguda interior vehicle
22023,2013S006666,Abast
22024,2013S002953,Caiguda (dues rodes)
22025,2013S009437,Atropellament
22026,2013S002717,Col.lisió lateral
22027,2013S007164,Abast
22028,2013S007580,Col.lisió lateral
22029,2013S005270,Atropellament
22030,2013S003139,Abast
22031,2013S000847,Col.lisió lateral
22032,2013S004708,Abast
22033,2013S005080,Caiguda (dues rodes)
22034,2013S006956,Col.lisió lateral
22035,2013S008033,Caiguda interior vehicle
22036,2013S006799,Abast
22037,2013S004786,Col.lisió lateral
22038,2013S000900,Abast
22039,2013S002352,Col.lisió lateral
22040,2013S005523,Abast multiple
22041,2013S006737,Col.lisió lateral
22042,2013S006012,Col.lisió fronto-lateral
22043,2013S006517,Col.lisió fronto-lateral
22044,2013S000902,Col.lisió lateral
22045,2013S005546,Col.lisió fronto-lateral
22046,2013S000165,Col.lisió lateral
22047,2013S006864,Abast
22048,2013S005108,Col.lisió lateral
22049,2013S002778,Col.lisió fronto-lateral
22050,2013S008336,Altres
22051,2013S000045,Atropellament
22052,2013S008563,Abast
22053,2013S004988,Atropellament
22054,2013S001874,Altres
22055,2013S009203,Col.lisió lateral
22056,2013S001737,Col.lisió lateral
22057,2013S002015,Col.lisió lateral
22058,2013S005438,Col.lisió fronto-lateral
22059,2013S004971,Col.lisió fronto-lateral
22060,2013S000579,Xoc contra element estàtic
22061,2013S007568,Col.lisió lateral
22062,2013S005990,Col.lisió fronto-lateral
22063,2013S005174,Abast multiple
22064,2013S008897,Col.lisió fronto-lateral
22065,2013S002893,Col.lisió fronto-lateral
22066,2013S007334,Col.lisió fronto-lateral
22067,2013S004236,Xoc contra element estàtic
22068,2013S008024,Col.lisió lateral
22069,2013S007951,Col.lisió fronto-lateral
22070,2013S001600,Abast
22071,2013S004982,Col.lisió fronto-lateral
22072,2013S001613,Col.lisió fronto-lateral
22073,2013S000708,Caiguda (dues rodes)
22074,2013S006318,Col.lisió lateral
22075,2013S002422,Col.lisió fronto-lateral
22076,2013S002330,Abast
22077,2013S000063,Abast
22078,2013S007762,Col.lisió fronto-lateral
22079,2013S006661,Atropellament
22080,2013S006046,Abast
22081,2013S008228,Abast
22082,2013S007242,Col.lisió lateral
22083,2013S008051,Col.lisió lateral
22084,2013S003390,Caiguda interior vehicle
22085,2013S009431,Col.lisió fronto-lateral
22086,2013S008215,Col.lisió fronto-lateral
22087,2013S001099,Atropellament
22088,2013S008925,Abast
22089,2013S002999,Caiguda (dues rodes)
22090,2013S005099,Col.lisió lateral
22091,2013S001955,Col.lisió lateral
22092,2013S003239,Altres
22093,2013S001069,Caiguda (dues rodes)
22094,2013S004473,Col.lisió lateral
22095,2013S008853,Col.lisió lateral
22096,2013S005783,Col.lisió fronto-lateral
22097,2013S009132,Col.lisió fronto-lateral
22098,2013S006041,Col.lisió fronto-lateral
22099,2013S006748,Col.lisió lateral
22100,2013S004552,Abast
22101,2013S008496,Col.lisió lateral
22102,2013S000167,Abast
22103,2013S005953,Col.lisió fronto-lateral
22104,2013S006355,Col.lisió lateral
22105,2013S003734,Caiguda interior vehicle
22106,2013S002201,Caiguda (dues rodes)
22107,2013S006581,Col.lisió fronto-lateral
22108,2013S003009,Atropellament
22109,2013S003772,Atropellament
22110,2013S000302,Col.lisió lateral
22111,2013S001109,Atropellament
22112,2013S004083,Col.lisió fronto-lateral
22113,2013S001392,Col.lisió fronto-lateral
22114,2013S007042,Abast
22115,2013S005877,Abast
22116,2013S004934,Atropellament
22117,2013S005745,Altres
22118,2013S004583,Atropellament
22119,2013S000451,Col.lisió fronto-lateral
22120,2013S003728,Col.lisió fronto-lateral
22121,2013S000469,Atropellament
22122,2013S007282,Abast
22123,2013S001892,Col.lisió fronto-lateral
22124,2013S002592,Abast
22125,2013S002781,Atropellament
22126,2013S000770,Abast multiple
22127,2013S001557,Abast
22128,2013S003574,Col.lisió lateral
22129,2013S003823,Col.lisió fronto-lateral
22130,2013S005740,Atropellament
22131,2013S005176,Col.lisió lateral
22132,2013S009471,Atropellament
22133,2013S000793,Col.lisió lateral
22134,2013S005916,Atropellament
22135,2013S008225,Col.lisió fronto-lateral
22136,2013S009083,Caiguda (dues rodes)
22137,2013S001710,Col.lisió lateral
22138,2013S002572,Abast
22139,2013S008857,Abast
22140,2013S005919,Col.lisió fronto-lateral
22141,2013S001738,Col.lisió lateral
22142,2013S009011,Col.lisió fronto-lateral
22143,2013S000913,Abast
22144,2013S000430,Altres
22145,2013S009155,Abast
22146,2013S001824,Xoc contra element estàtic
22147,2013S003497,Abast
22148,2013S006360,Col.lisió fronto-lateral
22149,2013S002636,Col.lisió lateral
22150,2013S003075,Col.lisió fronto-lateral
22151,2013S002240,Abast
22152,2013S000272,Atropellament
22153,2013S009461,Atropellament
22154,2013S007084,Abast
22155,2013S004761,Col.lisió fronto-lateral
22156,2013S002587,Col.lisió fronto-lateral
22157,2013S006820,Atropellament
22158,2013S005748,Col.lisió lateral
22159,2013S001223,Col.lisió fronto-lateral
22160,2013S008133,Col.lisió fronto-lateral
22161,2013S008025,Atropellament
22162,2013S004911,Col.lisió lateral
22163,2013S008001,Col.lisió fronto-lateral
22164,2013S000157,Col.lisió lateral
22165,2013S007564,Col.lisió lateral
22166,2013S005842,Abast
22167,2013S005970,Abast
22168,2013S008929,Col.lisió lateral
22169,2013S006972,Caiguda (dues rodes)
22170,2013S007758,Abast
22171,2013S006134,Atropellament
22172,2013S000228,Col.lisió fronto-lateral
22173,2013S000267,Caiguda (dues rodes)
22174,2013S006828,Col.lisió fronto-lateral
22175,2013S000344,Col.lisió lateral
22176,2013S007542,Abast
22177,2013S001560,Caiguda (dues rodes)
22178,2013S001320,Abast
22179,2013S007472,Col.lisió lateral
22180,2013S003186,Abast
22181,2013S003148,Altres
22182,2013S003266,Abast
22183,2013S001733,Col.lisió frontal
22184,2013S004793,Abast
22185,2013S008699,Col.lisió fronto-lateral
22186,2013S002400,Col.lisió lateral
22187,2013S001049,Atropellament
22188,2013S009175,Caiguda (dues rodes)
22189,2013S003575,Col.lisió lateral
22190,2013S001298,Col.lisió fronto-lateral
22191,2013S006038,Col.lisió lateral
22192,2013S006156,Bolcada (més de dues rodes)
22193,2013S003221,Atropellament
22194,2013S004387,Abast
22195,2013S007344,Xoc contra element estàtic
22196,2013S005673,Col.lisió fronto-lateral
22197,2013S004194,Abast multiple
22198,2013S001477,Col.lisió lateral
22199,2013S003457,Altres
22200,2013S000368,Abast
22201,2013S008150,Abast
22202,2013S005962,Caiguda (dues rodes)
22203,2013S005296,Abast
22204,2013S005578,Caiguda (dues rodes)
22205,2013S006105,Col.lisió lateral
22206,2013S002154,Col.lisió lateral
22207,2013S007023,Caiguda (dues rodes)
22208,2013S000004,Xoc contra element estàtic
22209,2013S008789,Abast
22210,2013S001517,Xoc contra element estàtic
22211,2013S006700,Xoc contra element estàtic
22212,2013S002716,Col.lisió lateral
22213,2013S009013,Atropellament
22214,2013S003398,Abast
22215,2013S001193,Atropellament
22216,2013S006836,Abast
22217,2013S005158,Abast
22218,2013S003458,Caiguda (dues rodes)
22219,2013S003458,Col.lisió lateral
22220,2013S007295,Altres
22221,2013S002132,Col.lisió fronto-lateral
22222,2013S004740,Col.lisió fronto-lateral
22223,2013S004084,Col.lisió lateral
22224,2013S003189,Col.lisió fronto-lateral
22225,2013S009310,Col.lisió lateral
22226,2013S007862,Col.lisió lateral
22227,2013S002128,Abast multiple
22228,2013S005365,Abast
22229,2013S002386,Col.lisió lateral
22230,2013S006769,Abast
22231,2013S008940,Xoc contra element estàtic
22232,2013S000726,Abast
22233,2013S003105,Abast
22234,2013S008304,Col.lisió lateral
22235,2013S005460,Abast
22236,2013S007488,Col.lisió fronto-lateral
22237,2013S009018,Xoc contra element estàtic
22238,2013S004916,Col.lisió lateral
22239,2013S007320,Col.lisió lateral
22240,2013S005658,Atropellament
22241,2013S002844,Abast multiple
22242,2013S003580,Xoc contra element estàtic
22243,2013S002773,Abast
22244,2013S008521,Xoc contra element estàtic
22245,2013S006546,Abast multiple
22246,2013S007600,Col.lisió lateral
22247,2013S008595,Caiguda (dues rodes)
22248,2013S000895,Caiguda (dues rodes)
22249,2013S000203,Abast
22250,2013S006400,Atropellament
22251,2013S000219,Abast
22252,2013S000742,Abast multiple
22253,2013S009271,Col.lisió fronto-lateral
22254,2013S005339,Xoc contra element estàtic
22255,2013S001403,Abast
22256,2013S003677,Abast
22257,2013S009292,Abast
22258,2013S004160,Col.lisió lateral
22259,2013S009047,Atropellament
22260,2013S006017,Altres
22261,2013S003635,Atropellament
22262,2013S001926,Col.lisió lateral
22263,2013S009037,Abast
22264,2013S005393,Col.lisió fronto-lateral
22265,2013S000132,Abast multiple
22266,2013S002766,Col.lisió lateral
22267,2013S008510,Col.lisió lateral
22268,2013S003052,Abast
22269,2013S008479,Abast
22270,2013S000659,Abast
22271,2013S001129,Col.lisió fronto-lateral
22272,2013S000950,Col.lisió fronto-lateral
22273,2013S000924,Col.lisió fronto-lateral
22274,2013S002012,Col.lisió fronto-lateral
22275,2013S000192,Col.lisió fronto-lateral
22276,2013S007687,Col.lisió lateral
22277,2013S008627,Abast
22278,2013S009294,Col.lisió lateral
22279,2013S000396,Caiguda (dues rodes)
22280,2013S008553,Col.lisió lateral
22281,2013S002367,Abast
22282,2013S007147,Atropellament
22283,2013S008275,Atropellament
22284,2013S008221,Col.lisió lateral
22285,2013S008602,Abast
22286,2013S004745,Col.lisió lateral
22287,2013S007447,Col.lisió fronto-lateral
22288,2013S001098,Atropellament
22289,2013S006264,Atropellament
22290,2013S006221,Abast
22291,2013S007265,Abast
22292,2013S003163,Col.lisió fronto-lateral
22293,2013S001529,Altres
22294,2013S006809,Atropellament
22295,2013S000304,Col.lisió lateral
22296,2013S005204,Col.lisió lateral
22297,2013S002040,Xoc contra element estàtic
22298,2013S004013,Col.lisió lateral
22299,2013S008503,Col.lisió lateral
22300,2013S007285,Caiguda (dues rodes)
22301,2013S001913,Atropellament
22302,2013S008218,Xoc contra element estàtic
22303,2013S002610,Col.lisió lateral
22304,2013S009343,Xoc contra element estàtic
22305,2013S001718,Atropellament
22306,2013S000613,Caiguda interior vehicle
22307,2013S000523,Atropellament
22308,2013S005997,Col.lisió lateral
22309,2013S006948,Col.lisió fronto-lateral
22310,2013S000833,Caiguda (dues rodes)
22311,2013S007994,Atropellament
22312,2013S001941,Col.lisió fronto-lateral
22313,2013S007643,Xoc contra element estàtic
22314,2013S007772,Col.lisió lateral
22315,2013S003598,Col.lisió lateral
22316,2013S006814,Caiguda interior vehicle
22317,2013S000210,Xoc contra element estàtic
22318,2013S001278,Col.lisió fronto-lateral
22319,2013S007106,Caiguda (dues rodes)
22320,2013S002667,Atropellament
22321,2013S002324,Abast
22322,2013S002341,Col.lisió fronto-lateral
22323,2013S002524,Col.lisió lateral
22324,2013S007969,Caiguda (dues rodes)
22325,2013S003078,Col.lisió fronto-lateral
22326,2013S007361,Col.lisió fronto-lateral
22327,2013S005585,Col.lisió lateral
22328,2013S005585,Col.lisió fronto-lateral
22329,2013S008351,Col.lisió lateral
22330,2013S007181,Altres
22331,2013S005166,Bolcada (més de dues rodes)
22332,2013S000491,Abast
22333,2013S007765,Caiguda (dues rodes)
22334,2013S002706,Atropellament
22335,2013S009124,Abast
22336,2013S006227,Xoc contra element estàtic
22337,2013S005810,Col.lisió lateral
22338,2013S004382,Col.lisió fronto-lateral
22339,2013S006001,Col.lisió fronto-lateral
22340,2013S000990,Abast
22341,2013S005960,Altres
22342,2013S000227,Col.lisió fronto-lateral
22343,2013S001484,Xoc contra element estàtic
22344,2013S001797,Col.lisió fronto-lateral
22345,2013S009338,Xoc contra element estàtic
22346,2013S005602,Col.lisió lateral
22347,2013S002217,Col.lisió fronto-lateral
22348,2013S008518,Caiguda (dues rodes)
22349,2013S008518,Abast multiple
22350,2013S009184,Caiguda (dues rodes)
22351,2013S008884,Col.lisió fronto-lateral
22352,2013S009451,Caiguda (dues rodes)
22353,2013S002245,Abast
22354,2013S005276,Col.lisió lateral
22355,2013S008584,Col.lisió lateral
22356,2013S003062,Abast
22357,2013S007278,Abast
22358,2013S006351,Altres
22359,2013S003528,Abast
22360,2013S001162,Col.lisió fronto-lateral
22361,2013S000364,Col.lisió lateral
22362,2013S006184,Bolcada (més de dues rodes)
22363,2013S004215,Abast
22364,2013S001944,Caiguda (dues rodes)
22365,2013S000164,Col.lisió lateral
22366,2013S005503,Abast
22367,2013S005429,Col.lisió lateral
22368,2013S002347,Col.lisió lateral
22369,2013S002875,Col.lisió fronto-lateral
22370,2013S002295,Col.lisió fronto-lateral
22371,2013S008801,Xoc contra element estàtic
22372,2013S007013,Xoc contra element estàtic
22373,2013S009228,Col.lisió lateral
22374,2013S002831,Atropellament
22375,2013S004718,Abast
22376,2013S008833,Atropellament
22377,2013S005426,Caiguda (dues rodes)
22378,2013S009466,Col.lisió fronto-lateral
22379,2013S001542,Abast
22380,2013S007144,Abast
22381,2013S004161,Atropellament
22382,2013S004645,Atropellament
22383,2013S004016,Col.lisió fronto-lateral
22384,2013S007068,Col.lisió lateral
22385,2013S005319,Caiguda interior vehicle
22386,2013S006813,Col.lisió fronto-lateral
22387,2013S003956,Atropellament
22388,2013S004508,Col.lisió lateral
22389,2013S005146,Col.lisió fronto-lateral
22390,2013S004938,Xoc contra element estàtic
22391,2013S001229,Xoc contra element estàtic
22392,2013S003831,Col.lisió fronto-lateral
22393,2013S009046,Atropellament
22394,2013S007963,Xoc contra element estàtic
22395,2013S000538,Col.lisió fronto-lateral
22396,2013S008318,Col.lisió frontal
22397,2013S005893,Caiguda interior vehicle
22398,2013S004192,Abast multiple
22399,2013S006920,Col.lisió fronto-lateral
22400,2013S005784,Abast
22401,2013S008438,Col.lisió fronto-lateral
22402,2013S008213,Col.lisió lateral
22403,2013S003725,Caiguda (dues rodes)
22404,2013S000026,Col.lisió lateral
22405,2013S008690,Col.lisió lateral
22406,2013S001190,Caiguda (dues rodes)
22407,2013S002000,Col.lisió lateral
22408,2013S007672,Col.lisió lateral
22409,2013S000761,Col.lisió fronto-lateral
22410,2013S008118,Col.lisió fronto-lateral
22411,2013S007656,Col.lisió lateral
22412,2013S001586,Abast
22413,2013S002320,Xoc contra element estàtic
22414,2013S003060,Abast
22415,2013S007504,Abast
22416,2013S008845,Col.lisió lateral
22417,2013S002726,Col.lisió fronto-lateral
22418,2013S002167,Atropellament
22419,2013S005739,Abast
22420,2013S006815,Caiguda (dues rodes)
22421,2013S006815,Col.lisió lateral
22422,2013S001294,Col.lisió lateral
22423,2013S003966,Abast
22424,2013S006079,Col.lisió lateral
22425,2013S002976,Col.lisió lateral
22426,2013S008515,Caiguda (dues rodes)
22427,2013S009388,Col.lisió lateral
22428,2013S001012,Abast
22429,2013S006709,Xoc contra element estàtic
22430,2013S006709,Col.lisió lateral
22431,2013S002740,Col.lisió fronto-lateral
22432,2013S005341,Col.lisió fronto-lateral
22433,2013S002437,Col.lisió lateral
22434,2013S002618,Abast
22435,2013S007271,Col.lisió fronto-lateral
22436,2013S000447,Atropellament
22437,2013S003364,Abast
22438,2013S000869,Caiguda (dues rodes)
22439,2013S005034,Abast
22440,2013S006840,Col.lisió lateral
22441,2013S006432,Col.lisió lateral
22442,2013S006841,Col.lisió fronto-lateral
22443,2013S001000,Atropellament
22444,2013S006162,Xoc contra element estàtic
22445,2013S004505,Col.lisió fronto-lateral
22446,2013S009161,Abast
22447,2013S008421,Xoc contra element estàtic
22448,2013S008458,Col.lisió fronto-lateral
22449,2013S006983,Caiguda (dues rodes)
22450,2013S008311,Abast
22451,2013S004617,Col.lisió fronto-lateral
22452,2013S005848,Xoc contra element estàtic
22453,2013S006604,Col.lisió lateral
22454,2013S007629,Col.lisió lateral
22455,2013S005872,Abast
22456,2013S003813,Abast
22457,2013S003404,Abast
22458,2013S005026,Abast
22459,2013S005827,Xoc contra element estàtic
22460,2013S001735,Col.lisió fronto-lateral
22461,2013S006212,Abast
22462,2013S004754,Xoc contra element estàtic
22463,2013S000401,Col.lisió fronto-lateral
22464,2013S007954,Abast
22465,2013S007589,Col.lisió fronto-lateral
22466,2013S003092,Caiguda (dues rodes)
22467,2013S007511,Col.lisió lateral
22468,2013S002507,Abast
22469,2013S005368,Abast
22470,2013S007914,Abast
22471,2013S008804,Caiguda (dues rodes)
22472,2013S008804,Col.lisió lateral
22473,2013S006953,Atropellament
22474,2013S004898,Col.lisió lateral
22475,2013S007641,Col.lisió lateral
22476,2013S004840,Atropellament
22477,2013S007366,Col.lisió lateral
22478,2013S005452,Col.lisió lateral
22479,2013S005032,Abast
22480,2013S006564,Abast
22481,2013S008534,Abast
22482,2013S001002,Xoc contra element estàtic
22483,2013S003704,Abast
22484,2013S008223,Xoc contra element estàtic
22485,2013S001019,Caiguda (dues rodes)
22486,2013S001435,Abast
22487,2013S009026,Col.lisió fronto-lateral
22488,2013S003647,Abast
22489,2013S008525,Abast
22490,2013S006390,Abast
22491,2013S003258,Col.lisió lateral
22492,2013S000362,Abast
22493,2013S007966,Altres
22494,2013S001814,Atropellament
22495,2013S006951,Col.lisió lateral
22496,2013S001196,Caiguda (dues rodes)
22497,2013S005351,Abast
22498,2013S006838,Atropellament
22499,2013S009286,Col.lisió fronto-lateral
22500,2013S008637,Xoc contra element estàtic
22501,2013S007343,Abast
22502,2013S004687,Atropellament
22503,2013S008361,Xoc contra element estàtic
22504,2013S008670,Abast
22505,2013S006874,Atropellament
22506,2013S009152,Col.lisió lateral
22507,2013S008743,Col.lisió fronto-lateral
22508,2013S009069,Atropellament
22509,2013S001832,Col.lisió fronto-lateral
22510,2013S002361,Col.lisió fronto-lateral
22511,2013S006493,Caiguda (dues rodes)
22512,2013S005524,Abast
22513,2013S004864,Atropellament
22514,2013S004612,Col.lisió lateral
22515,2013S006427,Col.lisió fronto-lateral
22516,2013S003299,Altres
22517,2013S006119,Col.lisió fronto-lateral
22518,2013S001010,Caiguda (dues rodes)
22519,2013S003133,Col.lisió fronto-lateral
22520,2013S001455,Col.lisió fronto-lateral
22521,2013S009254,Caiguda (dues rodes)
