"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
2015S005173,1,"Ciutat Vella",1,"el Raval",198804,Paral·lel,"0038 0038",Diumenge,Dg,Laboral,2015,7,Juliol,5,05,"No és causa del  vianant",Ciclomotor,Home,Conductor,26,"Ferit lleu","4580919,86","430903,90"
2015S004393,1,"Ciutat Vella",1,"el Raval",234602,Om,0001B0001B,Diumenge,Dg,Laboral,2015,6,Juny,7,10,"No és causa del  vianant",Turismo,Dona,Passatger,28,"Ferit lleu","4581067,36","430833,77"
2015S002255,1,"Ciutat Vella",1,"el Raval",157909,Hospital,"0047 0047",Dimarts,Dm,Laboral,2015,3,Març,24,08,"No és causa del  vianant",Bicicleta,Dona,Vianant,48,"Ferit lleu","4581548,21","430793,39"
2015S004591,1,"Ciutat Vella",1,"el Raval",282106,"Riera Alta","0073 0073",Diumenge,Dg,Laboral,2015,6,Juny,14,12,"No és causa del  vianant",Taxi,Dona,Passatger,27,"Ferit lleu","4581513,77","430153,74"
2015S004604,1,"Ciutat Vella",1,"el Raval",86902,"Nou de la Rambla","0084 0084",Dilluns,Dl,Laboral,2015,6,Juny,15,08,"No és causa del  vianant",Motocicleta,Home,Conductor,56,"Ferit lleu","4581039,60","430772,49"
2015S003595,1,"Ciutat Vella",1,"el Raval",198804,Paral·lel,"0076 0080",Dilluns,Dl,Laboral,2015,5,Maig,11,03,"No és causa del  vianant",Furgoneta,Dona,Vianant,9,"Ferit lleu","4580942,47","430544,35"
2015S002848,1,"Ciutat Vella",1,"el Raval",277809,"Reina Amàlia","0028 0028",Dijous,Dj,Laboral,2015,4,Abril,16,10,"No és causa del  vianant",Ciclomotor,Dona,Conductor,24,"Ferit lleu","4581088,39","430509,08"
2015S009946,1,"Ciutat Vella",1,"el Raval",277809,"Reina Amàlia","0034 0034",Dimarts,Dm,Laboral,2015,12,Desembre,29,07,"No és causa del  vianant",Bicicleta,Home,Conductor,31,"Ferit lleu","4581073,61","430527,36"
2015S003276,1,"Ciutat Vella",1,"el Raval",269200,"Portal de Santa Madrona","0005 0011",Dijous,Dj,Laboral,2015,4,Abril,30,10,"No és causa del  vianant",Motocicleta,Home,Conductor,36,"Ferit lleu","4580983,49","431112,73"
2015S007113,1,"Ciutat Vella",1,"el Raval",700025,"Josep Carner","0030 0030",Dimarts,Dm,Laboral,2015,9,Setembre,22,01,"No és causa del  vianant",Ciclomotor,Home,Conductor,25,"Ferit lleu","4580920,07","431246,10"
