"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Descripció torn","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
"2013S001430    ",2,Eixample,7,"la Dreta de l'Eixample",31300,Bailèn,"0131 0131",Diumenge,Dg,Laboral,2013,2,Febrer,24,Matí,12,"No és causa del  vianant",Ciclomotor,Dona,Conductor,22,"Ferit lleu","4583525,22","430580,47"
"2013S001943    ",2,Eixample,10,"Sant Antoni",323203,Sepúlveda,"0091 0091",Dijous,Dj,Laboral,2013,3,Març,14,Tarda,18,"Desobeir el senyal del semàfor",Motocicleta,Home,Conductor,32,"Ferit lleu","4581459,90","429664,86"
"2013S002425    ",6,Gràcia,28,"Vallcarca i els Penitents",158107,Vallcarca,"0012 0012",Divendres,Dv,Laboral,2013,4,Abril,5,Nit,05,"No és causa del  vianant",Turismo,Home,Passatger,22,"Ferit lleu","4584634,16","429000,91"
"2013S002430    ",2,Eixample,5,"el Fort Pienc",169409,"Corts Catalanes","0743 0743",Divendres,Dv,Laboral,2013,4,Abril,5,Matí,07,"No és causa del  vianant",Motocicleta,Home,Conductor,52,"Ferit lleu","4583576,24","431594,04"
"2013S002435    ",10,"Sant Martí",71,"Provençals del Poblenou",701414,C-31,020650000,Divendres,Dv,Laboral,2013,4,Abril,5,Matí,10,"No és causa del  vianant",Turismo,Dona,Conductor,42,"Ferit lleu","4584550,48","432646,78"
"2013S002438    ",2,Eixample,9,"la Nova Esquerra de l'Eixample",169409,"Corts Catalanes","0401 0401",Divendres,Dv,Laboral,2013,4,Abril,5,Matí,12,"No és causa del  vianant",Motocicleta,Home,Conductor,43,"Ferit lleu","4581153,82","429118,95"
"2013S001988    ",4,"Les Corts",19,"les Corts",231502,Numància,"0084 0084",Divendres,Dv,Laboral,2013,3,Març,15,Tarda,21,"No és causa del  vianant",Motocicleta,Home,Conductor,24,"Ferit lleu","4582085,72","427950,71"
"2013S001994    ",7,Horta-Guinardó,35,"el Guinardó",152905,Guinardó,"0111 0111",Dissabte,Ds,Laboral,2013,3,Març,16,Matí,13,"No és causa del  vianant",Ciclomotor,Home,Conductor,22,"Ferit lleu","4585416,57","430947,29"
"2013S002454    ",9,"Sant Andreu",60,"Sant Andreu",314100,"Santa Coloma",0034U0034U,Divendres,Dv,Laboral,2013,4,Abril,5,Tarda,21,"No és causa del  vianant",Turismo,Home,Conductor,24,"Ferit lleu","4588711,64","432517,69"
"2013S002460    ",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",362205,Vilana,"0010 0010",Divendres,Dv,Laboral,2013,4,Abril,5,Tarda,21,"No és causa del  vianant",Taxi,Dona,Vianant,54,"Ferit lleu","4584315,49","427264,57"
"2013S002471    ",1,"Ciutat Vella",2,"el Barri Gòtic",701265,"Litoral (Besòs)",001040000,Dissabte,Ds,Laboral,2013,4,Abril,6,Matí,10,"No és causa del  vianant",Motocicleta,Home,Conductor,38,"Ferit lleu","4581321,69","431585,19"
