epoch,loss,mse
0,0.7377569675445557,0.7377569675445557
1,0.3211232125759125,0.3211232125759125
2,0.30911049246788025,0.30911049246788025
3,0.30737394094467163,0.30737394094467163
4,0.3052254617214203,0.3052254617214203
5,0.3068874478340149,0.3068874478340149
6,0.30651161074638367,0.30651161074638367
7,0.30408838391304016,0.30408838391304016
8,0.30143603682518005,0.30143603682518005
9,0.30296385288238525,0.30296385288238525
10,0.3003692030906677,0.3003692030906677
11,0.29974237084388733,0.29974237084388733
12,0.29984867572784424,0.29984867572784424
13,0.3001808822154999,0.3001808822154999
14,0.2975480258464813,0.2975480258464813
15,0.29752445220947266,0.29752445220947266
16,0.2969845235347748,0.2969845235347748
17,0.29903966188430786,0.29903966188430786
18,0.29779720306396484,0.29779720306396484
19,0.29931995272636414,0.29931995272636414
20,0.29332050681114197,0.29332050681114197
21,0.29435738921165466,0.29435738921165466
22,0.2944090962409973,0.2944090962409973
23,0.296390175819397,0.296390175819397
24,0.2929874658584595,0.2929874658584595
25,0.29199880361557007,0.29199880361557007
26,0.2892041802406311,0.2892041802406311
27,0.28827279806137085,0.28827279806137085
28,0.2925959527492523,0.2925959527492523
29,0.2906264662742615,0.2906264662742615
30,0.2892054319381714,0.2892054319381714
31,0.29077789187431335,0.29077789187431335
32,0.29143503308296204,0.29143503308296204
33,0.283394455909729,0.283394455909729
34,0.2911814749240875,0.2911814749240875
35,0.28921452164649963,0.28921452164649963
36,0.2865127623081207,0.2865127623081207
37,0.28672435879707336,0.28672435879707336
38,0.28844204545021057,0.28844204545021057
39,0.28653815388679504,0.28653815388679504
40,0.2863259017467499,0.2863259017467499
41,0.28478044271469116,0.28478044271469116
42,0.28351327776908875,0.28351327776908875
43,0.2857767641544342,0.2857767641544342
44,0.28288155794143677,0.28288155794143677
45,0.28038012981414795,0.28038012981414795
46,0.2833711802959442,0.2833711802959442
47,0.2825104892253876,0.2825104892253876
48,0.28107839822769165,0.28107839822769165
49,0.280052125453949,0.280052125453949
50,0.2814665138721466,0.2814665138721466
51,0.2794952094554901,0.2794952094554901
52,0.28069043159484863,0.28069043159484863
53,0.2762332260608673,0.2762332260608673
54,0.2783202826976776,0.2783202826976776
55,0.27849116921424866,0.27849116921424866
56,0.27849406003952026,0.27849406003952026
57,0.2791097164154053,0.2791097164154053
58,0.27668648958206177,0.27668648958206177
59,0.27749407291412354,0.27749407291412354
60,0.277229905128479,0.277229905128479
61,0.27353331446647644,0.27353331446647644
62,0.2769131064414978,0.2769131064414978
63,0.27351054549217224,0.27351054549217224
64,0.2729332745075226,0.2729332745075226
65,0.27443253993988037,0.27443253993988037
66,0.27335527539253235,0.27335527539253235
67,0.27355676889419556,0.27355676889419556
68,0.27082496881484985,0.27082496881484985
69,0.27332451939582825,0.27332451939582825
70,0.272072434425354,0.272072434425354
71,0.27079254388809204,0.27079254388809204
72,0.26952412724494934,0.26952412724494934
73,0.27083486318588257,0.27083486318588257
74,0.2703189253807068,0.2703189253807068
