"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal","Descripcio_dia_setmana","Dia_setmana","Descripcio_tipus_dia","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_vianant","Descripcio_tipus_vehicle","Descripcio_model","Descripcio_marca","Descripcio_color","Descripcio_carnet","Antiguitat_carnet","Coordenada_UTM_X","Coordenada_UTM_Y","Latitud","Longitud"
"2020S002833    ",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",701266,"Litoral (Llobregat)",1640000,"Dilluns","Dl","Laboral",2020,6,"Juny",29,21,"Tarda","No és causa del  vianant","Motocicleta","SH 300","HONDA","Blau","A2",28,"427746.24","4577610.21","41.344898324","2.13523580"
"2020S002833    ",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",701266,"Litoral (Llobregat)",1640000,"Dilluns","Dl","Laboral",2020,6,"Juny",29,21,"Tarda","No és causa del  vianant","Motocicleta","UH 200","SUZUKI","Blau","A2",1,"427746.24","4577610.21","41.344898324","2.13523580"
"2020S002834    ",3,"Sants-Montjuïc",14,"la Font de la Guatlla",169409,"Corts Catalanes","0314 0316","Dilluns","Dl","Laboral",2020,6,"Juny",29,22,"Nit","No és causa del  vianant","Motocicleta","PEOPLE GTI 125","KYMCO","Blanc","B",13,"428747.21","4580717.47","41.372973655","2.14683384"
"2020S002834    ",3,"Sants-Montjuïc",14,"la Font de la Guatlla",169409,"Corts Catalanes","0314 0316","Dilluns","Dl","Laboral",2020,6,"Juny",29,22,"Nit","No és causa del  vianant","Ciclomotor","LIBERTY","PIAGGIO","Vermell","AM",3,"428747.21","4580717.47","41.372973655","2.14683384"
"2020S002835    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",223606,"Muntaner","0387 0391","Dilluns","Dl","Laboral",2020,6,"Juny",29,21,"Tarda","No és causa del  vianant","Motocicleta","UK 110","SUZUKI","Blanc","A1",6,"428385.19","4583668.14","41.399517117","2.14215628"
"2020S002835    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",223606,"Muntaner","0387 0391","Dilluns","Dl","Laboral",2020,6,"Juny",29,21,"Tarda","No és causa del  vianant","Turisme","GOLF","VOLKSWAGEN","Negre","B",29,"428385.19","4583668.14","41.399517117","2.14215628"
"2020S002836    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",245802,"París","0169 0169","Dilluns","Dl","Laboral",2020,6,"Juny",29,22,"Nit","No és causa del  vianant","Motocicleta","MTN690-U  (MT-07)","YAMAHA","Desconegut","A2",2,429179,"4582902.11","41.392688106","2.15174117"
"2020S002836    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",245802,"París","0169 0169","Dilluns","Dl","Laboral",2020,6,"Juny",29,22,"Nit","No és causa del  vianant","Turisme","LEON","SEAT","Desconegut","B",1,429179,"4582902.11","41.392688106","2.15174117"
"2020S002837    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0587 0589","Dimarts","Dm","Laboral",2020,6,"Juny",30,0,"Nit","No és causa del  vianant","Motocicleta","AGILITY CITY 125","KYMCO","Blanc","B",7,"430335.3","4582343.66","41.38775937","2.16563525"
"2020S002837    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0587 0589","Dimarts","Dm","Laboral",2020,6,"Juny",30,0,"Nit","No és causa del  vianant","Turisme","CLA 200 D","MERCEDES-BENZ","Gris","B",1,"430335.3","4582343.66","41.38775937","2.16563525"
"2020S002838    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",349706,"Comte d'Urgell","0121 0123","Dimarts","Dm","Laboral",2020,6,"Juny",30,2,"Nit","No és causa del  vianant","Motocicleta","AGILITY CITY 125","KYMCO","Desconegut","B",9,"429398.93","4582049.56","41.385028825","2.15447104"
"2020S002839    ",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",143904,"General Mitre","0244 0246","Dilluns","Dl","Laboral",2020,6,"Juny",29,9,"Matí","No és causa del  vianant","Autobús articulat","HYBRID H18","SOLARIS","Vermell","D",20,"428976.28","4584385.99","41.406034981","2.14914240"
"2020S002840    ",9,"Sant Andreu",58,"Baró de Viver",151957,"Guayaquil","0049 0049","Dimarts","Dm","Laboral",2020,6,"Juny",30,8,"Matí","No és causa del  vianant","Furgoneta","PROACE","TOYOTA","Blanc","B",17,"433483.66","4588879.32","41.446890922","2.20256922"
"2020S002840    ",9,"Sant Andreu",58,"Baró de Viver",151957,"Guayaquil","0049 0049","Dimarts","Dm","Laboral",2020,6,"Juny",30,8,"Matí","No és causa del  vianant","Turisme","C3 PURETECH 82 S&S FEE","CITROEN","Vermell","B",4,"433483.66","4588879.32","41.446890922","2.20256922"
