"Codi d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ causa vianant","Descripci¢ tipus de vehicle","Descripci¢ model","Descripci¢ marca","Descripci¢ color","Descripci¢ carnet","Antiguitat carnet","Coordenada UTM (Y)","Coordenada UTM (X)"
2010S002961,7,Horta-Guinard¢,34,"Can Bar¢",170601,"JosÇ Mill†n Gonz†lez","0034 0034",Divendres,Dv,Laboral,2010,4,Abril,30,23,"Creuar per fora pas de vianants",Turismo,GOLF,VOLKSWAGEN,Desconegut,B,3,"4585536,52","429863,89"
2010S003114,8,"Nou Barris",53,"la Trinitat Nova",4409,Aiguablava,"0026 0026",Divendres,Dv,Laboral,2010,5,Maig,7,15,"No Çs causa del  vianant",Ciclomotor,YR,YAMAHA,Negre,AM,1,"4589093,65","431789,16"
2010S001244,3,Sants-Montjuãc,11,"el Poble Sec",701266,"Litoral (Llobregat)",1380000,Divendres,Dv,Laboral,2010,2,Febrer,19,15,"No Çs causa del  vianant",Furgoneta,BERLINGO,CITROEN,Blanc,B,9,"4578885,9","429949,38"
2010S001244,3,Sants-Montjuãc,11,"el Poble Sec",701266,"Litoral (Llobregat)",1380000,Divendres,Dv,Laboral,2010,2,Febrer,19,15,"No Çs causa del  vianant",Taxi,TOLEDO,SEAT,Altres,BTP,16,"4578885,9","429949,38"
2010S001421,2,Eixample,5,"el Fort Pienc",325005,Sic°lia,"0159 0159",Divendres,Dv,Laboral,2010,2,Febrer,26,14,"No Çs causa del  vianant",Furgoneta,TRANSIT,FORD,Blanc,B,5,"4583562,68","431291,81"
2010S001424,6,GrÖcia,31,"la Vila de GrÖcia",206403,"Gran de GrÖcia","0091 0091",Divendres,Dv,Laboral,2010,2,Febrer,26,17,"No Çs causa del  vianant",Motocicleta,Compay,APRILIA,Negre,B,5,"4583788,5","429402,5"
2010S001426,6,GrÖcia,32,"el Camp d'en Grassot i GrÖcia Nova",144306,"Pi i Margall","0033 0033",Divendres,Dv,Laboral,2010,2,Febrer,26,19,"No Çs causa del  vianant",Ciclomotor,"LIBERTY 50",PIAGGIO,Gris,A,1,"4584592,69","430175,2"
2010S001554,7,Horta-Guinard¢,37,"el Carmel",101201,"Doctor BovÇ",0114B0114B,Dijous,Dj,Laboral,2010,3,Mará,4,13,"No Çs causa del  vianant","Cami¢n <= 3,5 Tm",CANTER,MITSUBISHI,Vermell,B,7,"4586026,73","429950,51"
2010S001562,4,"Les Corts",19,"les Corts",40300,Berl°n,"0101 0101",Dijous,Dj,Laboral,2010,3,Mará,4,14,"No Çs causa del  vianant",Motocicleta,"CBF 600",HONDA,Negre,A,8,"4582031,71","428289,03"
2010S002869,9,"Sant Andreu",60,"Sant Andreu",209900,Meridiana,0628X0628X,Dimecres,Dc,Laboral,2010,4,Abril,28,15,"No Çs causa del  vianant",Turismo,ASTRA,OPEL,Blanc,B,29,"4588738,87","432219,24"
