"Codi d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ causa vianant","Descripci¢ tipus de vehicle","Descripci¢ model","Descripci¢ marca","Descripci¢ color","Descripci¢ carnet","Antiguitat carnet","Coordenada UTM (Y)","Coordenada UTM (X)"
2012S000150,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",119003,"Fabra i Puig","0133 0133",Dissabte,Ds,Laboral,2012,1,Gener,7,23,"No Çs causa del  vianant",Motocicleta,"GSR 600",SUZUKI,Negre,A,2,"4587032,38","431619,6"
2012S000151,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",90502,Cïrsega,"0640 0640",Diumenge,Dg,Laboral,2012,1,Gener,8,4,"No Çs causa del  vianant",Turismo,ESCORT,FORD,Gris,B,3,"4584859,81","431405,79"
2012S000152,8,"Nou Barris",46,"el Tur¢ de la Peira",103003,"Doctor Pi i Molist","0001 0001",Diumenge,Dg,Laboral,2012,1,Gener,8,5,"No Çs causa del  vianant",Motocicleta,"SH 125",HONDA,Negre,B,4,"4587087,7","431124,46"
2012S007234,5,"SarriÖ-Sant Gervasi",23,SarriÖ,320908,"SarriÖ a Vallvidrera","0113 0113",Dilluns,Dl,Laboral,2012,10,Octubre,15,22,"No Çs causa del  vianant",Turismo,"E 350",MERCEDES,Gris,B,36,"4584548,47","425915,48"
2012S007372,5,"SarriÖ-Sant Gervasi",26,"Sant Gervasi - Galvany",91108,Corint,"0002 0002",Diumenge,Dg,Laboral,2012,10,Octubre,21,15,"No Çs causa del  vianant",Turismo,ZAFIRA,OPEL,Negre,Desconegut,Desconegut,"4584095,47","428418,01"
2012S007376,3,Sants-Montjuãc,13,"la Marina de Port",230601,"Mare de DÇu de Port","0415 0415",Diumenge,Dg,Laboral,2012,10,Octubre,21,17,"No Çs causa del  vianant",Turismo,PREMACY,MAZDA,Verd,B,20,"4579833,03","428072,46"
2012S007507,5,"SarriÖ-Sant Gervasi",23,SarriÖ,144408,"General Vives",0011X0011X,Divendres,Dv,Laboral,2012,10,Octubre,26,6,"No Çs causa del  vianant",Turismo,Altea,SEAT,Gris,B,13,"4584127,62","426224,02"
2012S006659,3,Sants-Montjuãc,13,"la Marina de Port",169409,"Corts Catalanes",0158A0158A,Dissabte,Ds,Laboral,2012,9,Setembre,22,10,"No Çs causa del  vianant",Turismo,XSARA,CITROEN,Verd,B,32,"4579985,82","427999,51"
2012S006660,3,Sants-Montjuãc,11,"el Poble Sec",701423,"Antiga de Montjuãc","0001 0001",Dissabte,Ds,Laboral,2012,9,Setembre,22,12,"No Çs causa del  vianant",Turismo,AVEO,CHEVROLET,Blanc,Desconegut,Desconegut,"4580542,41","430671,61"
2012S006660,3,Sants-Montjuãc,11,"el Poble Sec",701423,"Antiga de Montjuãc","0001 0001",Dissabte,Ds,Laboral,2012,9,Setembre,22,12,"No Çs causa del  vianant",Turismo,SCENIC,RENAULT,Gris,Desconegut,Desconegut,"4580542,41","430671,61"
2012S000890,2,Eixample,10,"Sant Antoni",198804,Paral˙lel,0134B0134B,Dilluns,Dl,Laboral,2012,2,Febrer,6,20,"No Çs causa del  vianant","Cami¢n <= 3,5 Tm",TRANSIT,FORD,Blanc,B,7,"4580951,07","429889,4"
2012S000893,2,Eixample,7,"la Dreta de l'Eixample",305100,"Sant Joan","0001 0001",Dilluns,Dl,Laboral,2012,2,Febrer,6,10,"Creuar per fora pas de vianants",Turismo,PUNTO,FIAT,Blanc,B,4,"4582777,79","431476,64"
2012S000893,2,Eixample,7,"la Dreta de l'Eixample",305100,"Sant Joan","0001 0001",Dilluns,Dl,Laboral,2012,2,Febrer,6,10,"Creuar per fora pas de vianants",Turismo,A6,AUDI,Blau,B,51,"4582777,79","431476,64"
2012S001022,4,"Les Corts",19,"les Corts",172403,"Joan GÅell","0155 0155",Dissabte,Ds,Laboral,2012,2,Febrer,11,10,"No Çs causa del  vianant",Turismo,POLO,VOLKSWAGEN,Gris,B,19,"4581838,68","427457,68"
2012S001025,7,Horta-Guinard¢,35,"el Guinard¢",365702,"Mare de DÇu de Montserrat","0129 0129",Dissabte,Ds,Laboral,2012,2,Febrer,11,9,"No Çs causa del  vianant",Turismo,206,PEUGEOT,Taronja,Desconegut,Desconegut,"4585486,61","430704,98"
2012S000084,9,"Sant Andreu",60,"Sant Andreu",314100,"Santa Coloma",0023B0023B,Dimecres,Dc,Laboral,2012,1,Gener,4,19,"No Çs causa del  vianant",Turismo,C4,CITROEN,Negre,B,21,"4588693,22","432400,31"
2012S000086,6,GrÖcia,28,"Vallcarca i els Penitents",701267,"Dalt (Besïs)",960000,Dimecres,Dc,Laboral,2012,1,Gener,4,19,"No Çs causa del  vianant",Turismo,C5,CITROEN,Gris,B,16,"4585531,96","428041,37"
2012S000088,2,Eixample,7,"la Dreta de l'Eixample",191204,Mallorca,0347B0347B,Dimecres,Dc,Laboral,2012,1,Gener,4,18,"No Çs causa del  vianant",Turismo,VECTRA,OPEL,Daurat,B,1,"4583737,08","430789,1"
2012S000717,3,Sants-Montjuãc,18,Sants,231502,NumÖncia,0045B0045B,Dimarts,Dm,Laboral,2012,1,Gener,31,15,"No Çs causa del  vianant",Turismo,MONDEO,FORD,Gris,B,6,"4581832,1","428114,65"
2012S000860,2,Eixample,7,"la Dreta de l'Eixample",286504,"Roger de Flor","0129 0131",Dilluns,Dl,Laboral,2012,2,Febrer,6,9,"No Çs causa del  vianant",Motocicleta,FZ6,YAMAHA,Blanc,A,5,"4583341,01","431134,85"
2012S000864,10,"Sant Mart°",70,"el Besïs i el Maresme",310201,"Sant Ramon de Penyafort",0001X0001X,Dilluns,Dl,Laboral,2012,2,Febrer,6,9,"No Çs causa del  vianant",Motocicleta,"LIBERTY 125",PIAGGIO,Gris,B,11,"4585179,04","434964,53"
2012S006790,5,"SarriÖ-Sant Gervasi",25,"Sant Gervasi - la Bonanova",334108,"Teodora Lamadrid","0048 0048",Divendres,Dv,Laboral,2012,9,Setembre,28,6,"No Çs causa del  vianant",Motocicleta,"Sport City",APRILIA,Negre,A1,5,"4584584,74","427821,09"
2012S006791,3,Sants-Montjuãc,14,"la Font de la Guatlla",169409,"Corts Catalanes","0216 0216",Divendres,Dv,Laboral,2012,9,Setembre,28,7,"No Çs causa del  vianant",Turismo,ZAFIRA,OPEL,Gris,B,15,"4580317,86","428339,19"
2012S006792,10,"Sant Mart°",66,"el Parc i la Llacuna del Poblenou",197302,Marina,"0104 0106",Divendres,Dv,Laboral,2012,9,Setembre,28,8,"No Çs causa del  vianant",Motocicleta,"SCOOPY 100",HONDA,Gris,A1,34,"4583062,05","432199,01"
2012S006792,10,"Sant Mart°",66,"el Parc i la Llacuna del Poblenou",197302,Marina,"0104 0106",Divendres,Dv,Laboral,2012,9,Setembre,28,8,"No Çs causa del  vianant",Bicicleta,Desconegut,DECATHLON,Negre,Desconegut,Desconegut,"4583062,05","432199,01"
2012S006795,7,Horta-Guinard¢,33,"el Baix Guinard¢",68900,Cartagena,"0357 0357",Divendres,Dv,Laboral,2012,9,Setembre,28,9,"No Çs causa del  vianant",Ciclomotor,"SH 50",HONDA,Gris,B,1,"4585130,95","430882,64"
2012S006928,2,Eixample,8,"l'Antiga Esquerra de l'Eixample",90502,Cïrsega,"0186 0186",Dimecres,Dc,Laboral,2012,10,Octubre,3,13,"No Çs causa del  vianant",Turismo,COROLLA,TOYOTA,Gris,Desconegut,Desconegut,"4582568,57","429072,39"
2012S007405,6,GrÖcia,28,"Vallcarca i els Penitents",34807,"Bar¢ de la Barre","0037 0037",Dilluns,Dl,Laboral,2012,10,Octubre,22,14,"Transitar a peu per la caláada",Motocicleta,"SH 100",HONDA,Negre,A,12,"4585608,11","428387,92"
2012S007531,3,Sants-Montjuãc,16,"la Bordeta",160903,"Ildefons CerdÖ","0004 0004",Divendres,Dv,Laboral,2012,10,Octubre,26,19,"No Çs causa del  vianant",Autob£s,Desconegut,MERCEDES,Vermell,D,6,"4579792,08","427711,55"
2012S007535,2,Eixample,5,"el Fort Pienc",169409,"Corts Catalanes","0745 0747",Dissabte,Ds,Laboral,2012,10,Octubre,27,1,"No Çs causa del  vianant",Turismo,LEON,SEAT,Blanc,B,4,"4583588,18","431603,29"
2012S007654,2,Eixample,7,"la Dreta de l'Eixample",71600,Casp,0001B0001B,Dimecres,Dc,Laboral,2012,10,Octubre,31,20,"No Çs causa del  vianant",Autocar,Desconegut,VOLVO,Desconegut,D,26,"4582456,92","430675,81"
2012S007655,6,GrÖcia,32,"el Camp d'en Grassot i GrÖcia Nova",289105,Rossell¢,"0367 0367",Dimecres,Dc,Laboral,2012,10,Octubre,31,22,"No Çs causa del  vianant",Turismo,308,PEUGEOT,Blanc,B,3,"4583975,36","430660,68"
2012S007655,6,GrÖcia,32,"el Camp d'en Grassot i GrÖcia Nova",289105,Rossell¢,"0367 0367",Dimecres,Dc,Laboral,2012,10,Octubre,31,22,"No Çs causa del  vianant",Turismo,FORTWO,SMART,Gris,B,15,"4583975,36","430660,68"
2012S006677,8,"Nou Barris",45,Porta,282650,"Rio de Janeiro",0001B0001B,Diumenge,Dg,Laboral,2012,9,Setembre,23,15,"No Çs causa del  vianant",Turismo,306,PEUGEOT,Vermell,B,23,"4587084,4","431769,33"
2012S006678,5,"SarriÖ-Sant Gervasi",24,"les Tres Torres",16907,Angl°,"0007 0007",Diumenge,Dg,Laboral,2012,9,Setembre,23,19,"No Çs causa del  vianant",Motocicleta,"CBR 600",HONDA,Vermell,A,22,"4583587,44","427138,21"
2012S006808,4,"Les Corts",21,Pedralbes,359200,Pedralbes,"0022 0024",Divendres,Dv,Laboral,2012,9,Setembre,28,17,"Desobeir el senyal del semÖfor",Motocicleta,"UH 125",SUZUKI,Negre,B,4,"4582563,55","426526,45"
2012S006809,2,Eixample,9,"la Nova Esquerra de l'Eixample",169409,"Corts Catalanes","0431 0431",Divendres,Dv,Laboral,2012,9,Setembre,28,20,"No Çs causa del  vianant",Turismo,CRV,HONDA,Gris,B,43,"4581299,85","429268,17"
2012S001665,3,Sants-Montjuãc,11,"el Poble Sec",198804,Paral˙lel,"0185 0185",Dimecres,Dc,Laboral,2012,3,Mará,7,12,"No Çs causa del  vianant",Furgoneta,TRANSIT,FORD,Blanc,B,20,"4580912,7","429230,37"
2012S000319,3,Sants-Montjuãc,13,"la Marina de Port",230601,"Mare de DÇu de Port","0250 0250",Diumenge,Dg,Laboral,2012,1,Gener,15,21,"No Çs causa del  vianant",Turismo,A6,AUDI,Blau,Desconegut,Desconegut,"4579380,95","428168,42"
2012S000323,10,"Sant Mart°",70,"el Besïs i el Maresme",701266,"Litoral (Llobregat)",550000,Dilluns,Dl,Laboral,2012,1,Gener,16,8,"No Çs causa del  vianant",Turismo,LEON,SEAT,Negre,B,Desconegut,"4584731,2","435017,2"
2012S000453,10,"Sant Mart°",69,"Diagonal Mar i el Front Mar°tim del Poblenou",701266,"Litoral (Llobregat)",680000,Divendres,Dv,Laboral,2012,1,Gener,20,8,"No Çs causa del  vianant",Turismo,VERSO,TOYOTA,Blau,B,14,"4583766,36","434156,16"
2012S001154,2,Eixample,7,"la Dreta de l'Eixample",247659,"Pau Claris","0098 0098",Dijous,Dj,Laboral,2012,2,Febrer,16,16,"No Çs causa del  vianant",Motocicleta,"CB 250 TWO FIFTY",HONDA,Negre,A,16,"4582697,02","430671,54"
2012S000866,5,"SarriÖ-Sant Gervasi",26,"Sant Gervasi - Galvany",348408,Tuset,"0019 0019",Dilluns,Dl,Laboral,2012,2,Febrer,6,11,"No Çs causa del  vianant",Turismo,300,MERCEDES,Negre,B,56,"4583290,22","429156,35"
2012S001001,5,"SarriÖ-Sant Gervasi",24,"les Tres Torres",68605,Carril,"0004 0004",Divendres,Dv,Laboral,2012,2,Febrer,10,16,"No Çs causa del  vianant",Turismo,Q7,AUDI,Gris,B,4,"4583506,13","427386,87"
2012S001285,2,Eixample,5,"el Fort Pienc",362409,Vilanova,"0001 0001",Dimecres,Dc,Laboral,2012,2,Febrer,22,9,"No Çs causa del  vianant",Turismo,Q5,AUDI,Blanc,B,27,"4582775,74","431582,52"
2012S001419,4,"Les Corts",20,"la Maternitat i Sant Ramon",66508,"Carles III","0069 0069",Dilluns,Dl,Laboral,2012,2,Febrer,27,12,"No Çs causa del  vianant",Turismo,SORENTO,KIA,Negre,B,35,"4582001,08","427112,9"
2012S001420,3,Sants-Montjuãc,11,"el Poble Sec",213409,Miramar,"0001 0013",Dilluns,Dl,Laboral,2012,2,Febrer,27,13,"No Çs causa del  vianant",Motocicleta,"SUPER DINK 125",KYMCO,Blanc,B,4,"4579915,12","430788,13"
2012S001420,3,Sants-Montjuãc,11,"el Poble Sec",213409,Miramar,"0001 0013",Dilluns,Dl,Laboral,2012,2,Febrer,27,13,"No Çs causa del  vianant",Turismo,MONDEO,FORD,Gris,B,35,"4579915,12","430788,13"
2012S001558,5,"SarriÖ-Sant Gervasi",25,"Sant Gervasi - la Bonanova",701267,"Dalt (Besïs)",800000,Divendres,Dv,Laboral,2012,3,Mará,2,16,"No Çs causa del  vianant",Turismo,MEGANE,RENAULT,Desconegut,B,24,"4584613,55","426771,17"
2012S001560,9,"Sant Andreu",59,"el Bon Pastor",81002,Claramunt,"0025 0027",Divendres,Dv,Laboral,2012,3,Mará,2,18,"No Çs causa del  vianant",Turismo,IBIZA,SEAT,Negre,B,5,"4587769,32","433667,32"
2012S001561,2,Eixample,7,"la Dreta de l'Eixample",74506,Catalunya,"0044 0044",Divendres,Dv,Laboral,2012,3,Mará,2,19,"No Çs causa del  vianant",Motocicleta,VESPA,PIAGGIO,Blanc,B,4,"4582651,41","430241,08"
2012S000222,6,GrÖcia,31,"la Vila de GrÖcia",90502,Cïrsega,"0321 0321",Dimecres,Dc,Laboral,2012,1,Gener,11,15,"No Çs causa del  vianant",Turismo,"XC 90",VOLVO,Gris,B,28,"4583372,76","429854,46"
2012S000226,7,Horta-Guinard¢,37,"el Carmel",325504,SigÅenza,"0128 0128",Dimecres,Dc,Laboral,2012,1,Gener,11,13,"No Çs causa del  vianant",Turismo,"CEE D",KIA,Gris,B,20,"4586170,23","429171,46"
2012S000361,2,Eixample,7,"la Dreta de l'Eixample",89004,"Consell de Cent","0442 0442",Dimarts,Dm,Laboral,2012,1,Gener,17,16,"No Çs causa del  vianant",Turismo,ASTRA,OPEL,Negre,B,5,"4583491,03","431154,98"
2012S000364,9,"Sant Andreu",57,"la Trinitat Vella",120807,Faväncia,"0419 0419",Dimarts,Dm,Laboral,2012,1,Gener,17,19,"No Çs causa del  vianant",Motocicleta,"SH 125",HONDA,Negre,B,5,"4588928,81","432440,03"
2012S000487,10,"Sant Mart°",67,"la Vila Ol°mpica del Poblenou",700667,"Jaume Vicens i Vives","0001 0001",Diumenge,Dg,Laboral,2012,1,Gener,22,6,"No Çs causa del  vianant",Turismo,ALMERA,NISSAN,Blau,B,4,"4582834,97","433495,24"
2012S000027,2,Eixample,7,"la Dreta de l'Eixample",148307,GrÖcia,"0061 0061",Dilluns,Dl,Laboral,2012,1,Gener,2,15,"No Çs causa del  vianant",Motocicleta,"SH 125",HONDA,Marr¢,B,21,"4582932,76","430144,52"
2012S000030,2,Eixample,7,"la Dreta de l'Eixample",145003,Girona,"0144 0146",Dilluns,Dl,Laboral,2012,1,Gener,2,15,"No Çs causa del  vianant","Autob£s articulado","NG 313",MAN,Vermell,"E D",15,"4583551,14","430408,55"
2012S000033,2,Eixample,7,"la Dreta de l'Eixample",305100,"Sant Joan","0084 0084",Dilluns,Dl,Laboral,2012,1,Gener,2,22,"No Çs causa del  vianant",Turismo,ATOS,HYUNDAI,Vermell,B,1,"4583469,48","430872,45"
2012S007633,10,"Sant Mart°",70,"el Besïs i el Maresme",701266,"Litoral (Llobregat)",560000,Dimecres,Dc,Laboral,2012,10,Octubre,31,13,"No Çs causa del  vianant",Turismo,IBIZA,SEAT,Blanc,B,1,"4584639,26","434981,22"
2012S007768,8,"Nou Barris",49,Canyelles,701268,"Dalt (Llobregat)",1410000,Dimarts,Dm,Laboral,2012,11,Novembre,6,10,"No Çs causa del  vianant",Turismo,MEGANE,RENAULT,Blanc,B,3,"4588506,77","430897,9"
2012S006930,2,Eixample,5,"el Fort Pienc",178308,Lepant,0188B0188B,Dimecres,Dc,Laboral,2012,10,Octubre,3,14,"No Çs causa del  vianant",Furgoneta,BERLINGO,CITROEN,Gris,B,20,"4583730,69","431738,28"
2012S006932,6,GrÖcia,31,"la Vila de GrÖcia",148307,GrÖcia,"0132 0132",Dimecres,Dc,Laboral,2012,10,Octubre,3,15,"No Çs causa del  vianant",Ciclomotor,"CS 50 Z",YAMAHA,Gris,A1,6,"4583485,03","429708,63"
2012S006932,6,GrÖcia,31,"la Vila de GrÖcia",148307,GrÖcia,"0132 0132",Dimecres,Dc,Laboral,2012,10,Octubre,3,15,"No Çs causa del  vianant",Turismo,207,PEUGEOT,Vermell,B,20,"4583485,03","429708,63"
2012S007058,2,Eixample,9,"la Nova Esquerra de l'Eixample",361406,Viladomat,"0284 0284",Dilluns,Dl,Laboral,2012,10,Octubre,8,15,"No Çs causa del  vianant",Turismo,GOLF,VOLKSWAGEN,Blau,B,31,"4582432,66","428685,5"
2012S007062,2,Eixample,5,"el Fort Pienc",286504,"Roger de Flor",0052X0052X,Dilluns,Dl,Laboral,2012,10,Octubre,8,19,"No Çs causa del  vianant",Ciclomotor,"LIBERTY 125",PIAGGIO,Gris,AM,16,"4582849,24","431656,76"
2012S007066,2,Eixample,8,"l'Antiga Esquerra de l'Eixample",23403,Aribau,"0149 0149",Dilluns,Dl,Laboral,2012,10,Octubre,8,21,"No Çs causa del  vianant",Turismo,YARIS,TOYOTA,Gris,B,47,"4582886,45","429336,44"
2012S007191,4,"Les Corts",19,"les Corts",231502,NumÖncia,"0124 0124",Dissabte,Ds,Laboral,2012,10,Octubre,13,13,"No Çs causa del  vianant",Turismo,C3,CITROEN,Gris,B,25,"4582292,47","427792,68"
2012S007192,3,Sants-Montjuãc,15,Hostafrancs,331507,Tarragona,"0183 0183",Dissabte,Ds,Laboral,2012,10,Octubre,13,13,"No Çs causa del  vianant",Turismo,ASTRA,OPEL,Desconegut,B,39,"4581481,21","428423,27"
2012S007193,10,"Sant Mart°",65,"el Clot",60400,"Canonge Rod¢","0007 0007",Dissabte,Ds,Laboral,2012,10,Octubre,13,13,"No Çs causa del  vianant",Turismo,416,ROVER,Verd,B,43,"4584797,9","432244,69"
2012S007193,10,"Sant Mart°",65,"el Clot",60400,"Canonge Rod¢","0007 0007",Dissabte,Ds,Laboral,2012,10,Octubre,13,13,"No Çs causa del  vianant",Bicicleta,Desconegut,PEUGEOT,Verd,Desconegut,Desconegut,"4584797,9","432244,69"
2012S007195,6,GrÖcia,30,"la Salut",366002,"Mare de DÇu de la Salut","0055 0055",Dissabte,Ds,Laboral,2012,10,Octubre,13,18,"No Çs causa del  vianant",Motocicleta,SIXTEEN,SUZUKI,Negre,B,5,"4584988,31","429646,68"
2012S007195,6,GrÖcia,30,"la Salut",366002,"Mare de DÇu de la Salut","0055 0055",Dissabte,Ds,Laboral,2012,10,Octubre,13,18,"No Çs causa del  vianant",Turismo,A3,AUDI,Negre,B,18,"4584988,31","429646,68"
2012S007196,6,GrÖcia,30,"la Salut",344000,Dalt,"0009 0009",Dissabte,Ds,Laboral,2012,10,Octubre,13,19,"No Çs causa del  vianant",Ciclomotor,"PEOPLE 125",KYMCO,Gris,Llicäncia,29,"4584634,71","429152,88"
2012S001157,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",240707,Palau,"0022 0022",Dijous,Dj,Laboral,2012,2,Febrer,16,16,"No Çs causa del  vianant",Bicicleta,Desconegut,Desconegut,Altres,Desconegut,Desconegut,"4581764,39","431767,04"
2012S001158,8,"Nou Barris",54,"Torre Bar¢",268207,Pruit,"0006 0006",Dijous,Dj,Laboral,2012,2,Febrer,16,16,"No Çs causa del  vianant",Turismo,CLIO,RENAULT,Marr¢,B,2,"4589564,65","431086,2"
2012S001293,2,Eixample,9,"la Nova Esquerra de l'Eixample",361406,Viladomat,"0144 0144",Dimecres,Dc,Laboral,2012,2,Febrer,22,13,"No Çs causa del  vianant",Motocicleta,"MOVIE 125",KYMCO,Blau,A,26,"4581764,16","429347,79"
2012S001424,5,"SarriÖ-Sant Gervasi",25,"Sant Gervasi - la Bonanova",186805,Lluáanäs,"0028 0030",Dilluns,Dl,Laboral,2012,2,Febrer,27,16,"No Çs causa del  vianant",Turismo,207,PEUGEOT,Blau,B,6,"4584614,97","427553,36"
2012S001427,1,"Ciutat Vella",3,"la Barceloneta",701265,"Litoral (Besïs)","2,20E+01",Dilluns,Dl,Laboral,2012,2,Febrer,27,19,"No Çs causa del  vianant",Turismo,ALMERA,NISSAN,Gris,B,6,"4581946,87","432487,96"
2012S000092,10,"Sant Mart°",71,"Provenáals del Poblenou",701414,C-31,20750000,Dijous,Dj,Laboral,2012,1,Gener,5,8,"No Çs causa del  vianant",Furgoneta,KANGOO,RENAULT,Blanc,B,22,"4585249,15","433366,47"
2012S000094,5,"SarriÖ-Sant Gervasi",24,"les Tres Torres",28000,Augusta,"0257 0257",Dijous,Dj,Laboral,2012,1,Gener,5,10,"No Çs causa del  vianant",Motocicleta,"SES 125",HONDA,Gris,A1,20,"4583469,01","427573,55"
2012S000095,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",111704,Escïcia,"0106 0106",Dijous,Dj,Laboral,2012,1,Gener,5,11,"No Çs causa del  vianant",Motocicleta,"SR 250 SP",YAMAHA,Blau,A,8,"4586887,7","431391,84"
2012S000096,4,"Les Corts",19,"les Corts",40300,Berl°n,"0087 0087",Dijous,Dj,Laboral,2012,1,Gener,5,11,"No Çs causa del  vianant",Turismo,PATHFINDER,NISSAN,Blanc,B,29,"4581984,83","428248,88"
2012S000096,4,"Les Corts",19,"les Corts",40300,Berl°n,"0087 0087",Dijous,Dj,Laboral,2012,1,Gener,5,11,"No Çs causa del  vianant",Motocicleta,125,VESPA,Blanc,B,7,"4581984,83","428248,88"
2012S000230,4,"Les Corts",21,Pedralbes,215302,Monestir,"0003 0003",Dimecres,Dc,Laboral,2012,1,Gener,11,17,"No Çs causa del  vianant",Ciclomotor,NEO'S,YAMAHA,Blau,AM,24,"4583375,2","426005,63"
2012S000230,4,"Les Corts",21,Pedralbes,215302,Monestir,"0003 0003",Dimecres,Dc,Laboral,2012,1,Gener,11,17,"No Çs causa del  vianant",Turismo,POLO,VOLKSWAGEN,Blanc,B,1,"4583375,2","426005,63"
2012S000231,2,Eixample,6,"la Sagrada Fam°lia",292201,"Sagrada Fam°lia",0016B0016B,Dimecres,Dc,Laboral,2012,1,Gener,11,17,"No Çs causa del  vianant",Turismo,XANTIA,CITROEN,Gris,B,13,"4584033,16","431049,04"
2012S000234,5,"SarriÖ-Sant Gervasi",26,"Sant Gervasi - Galvany",143507,"Pau Casals","0002 0002",Dimecres,Dc,Laboral,2012,1,Gener,11,19,"No Çs causa del  vianant",Taxi,PRIUS,TOYOTA,Groc,BTP,36,"4582971,84","428535,96"
