"Codi d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ causa vianant","Descripci¢ tipus de vehicle","Descripci¢ model","Descripci¢ marca","Descripci¢ color","Descripci¢ carnet","Antiguitat carnet","Coordenada UTM (Y)","Coordenada UTM (X)"
2012S007292,3,Sants-Montjuãc,11,"el Poble Sec",86902,"Nou de la Rambla","0110 0112",Dijous,Dj,Laboral,2012,10,Octubre,18,2,Altres,Furgoneta,INTERSTAR,NISSAN,Gris,B,0,"4580877,12","430643,64"
2012S007292,3,Sants-Montjuãc,11,"el Poble Sec",86902,"Nou de la Rambla","0110 0112",Dijous,Dj,Laboral,2012,10,Octubre,18,2,Altres,Turismo,POLO,VOLKSWAGEN,Vermell,Desconegut,Desconegut,"4580877,12","430643,64"
2012S005850,6,GrÖcia,32,"el Camp d'en Grassot i GrÖcia Nova",76807,Sardenya,"0491 0491",Dilluns,Dl,Laboral,2012,8,Agost,13,20,"Creuar per fora pas de vianants",Motocicleta,"GZ 125",SUZUKI,Negre,Desconegut,Desconegut,"4584781,47","430289,84"
2012S001657,3,Sants-Montjuãc,18,Sants,312400,Sants,"0235 0241",Dimecres,Dc,Laboral,2012,3,Mará,7,9,"No Çs causa del  vianant",Motocicleta,"PS 125",HONDA,Negre,B,24,"4580999,21","427452,84"
2012S000317,10,"Sant Mart°",65,"el Clot",289309,"Rossend Nobas","0037 0037",Diumenge,Dg,Laboral,2012,1,Gener,15,20,"No Çs causa del  vianant",Turismo,IBIZA,SEAT,Desconegut,B,4,"4584692,52","432381,83"
2012S000444,2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0667 0667",Divendres,Dv,Laboral,2012,1,Gener,20,14,"No Çs causa del  vianant",Motocicleta,PES,HONDA,Gris,B,22,"4583034,99","431040,32"
2012S000447,7,Horta-Guinard¢,43,Horta,352507,"Vall d'Hebron",0247B0247B,Divendres,Dv,Laboral,2012,1,Gener,20,13,"No Çs causa del  vianant",Motocicleta,"SH 125",HONDA,Negre,B,25,"4588128,55","429803,41"
2012S000448,6,GrÖcia,31,"la Vila de GrÖcia",212508,Minerva,"0015 0015",Divendres,Dv,Laboral,2012,1,Gener,20,15,"No Çs causa del  vianant",Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4583355,9","429541,16"
2012S000582,4,"Les Corts",19,"les Corts",231502,NumÖncia,0199X0199X,Dimecres,Dc,Laboral,2012,1,Gener,25,21,"No Çs causa del  vianant",Ciclomotor,SENDA,DERBI,Negre,B,2,"4582731,4","427449,63"
2012S000584,1,"Ciutat Vella",1,"el Raval",86902,"Nou de la Rambla","0038 0038",Dilluns,Dl,Laboral,2012,1,Gener,23,18,"No Çs causa del  vianant",Turismo,C4,CITROEN,Negre,B,10,"4581248,03","430939,16"
2012S000585,2,Eixample,7,"la Dreta de l'Eixample",359404,"Joan Carles I","9999 9999",Dimecres,Dc,Laboral,2012,1,Gener,25,20,"No Çs causa del  vianant",Motocicleta,"BT 125",BTM,Negre,B,9,"4583317,43","429831,27"
2012S000589,1,"Ciutat Vella",2,"el Barri Gïtic",701266,"Litoral (Llobregat)",1020000,Dijous,Dj,Laboral,2012,1,Gener,26,1,"No Çs causa del  vianant",Turismo,LEON,SEAT,Gris,B,5,"4581498,83","431680,73"
2012S001015,5,"SarriÖ-Sant Gervasi",27,"el Putxet i el Farr¢",93409,Craywinckel,"0012 0016",Dissabte,Ds,Laboral,2012,2,Febrer,11,0,"No Çs causa del  vianant",Turismo,SCENIC,RENAULT,Gris,Desconegut,Desconegut,"4585056,77","428152,76"
2012S001282,6,GrÖcia,28,"Vallcarca i els Penitents",33509,Ballester,"0085 0085",Dimarts,Dm,Laboral,2012,2,Febrer,21,21,"No Çs causa del  vianant",Ciclomotor,"SF 50",HYOSUNG,Gris,AM,4,"4584717,73","428896,74"
2012S001284,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",95200,Cubelles,"0005 0005",Dimecres,Dc,Laboral,2012,2,Febrer,22,8,"No Çs causa del  vianant",Motocicleta,"LIKE 125",KYMCO,Blanc,B,6,"4586639,91","431179,86"
2012S000020,2,Eixample,7,"la Dreta de l'Eixample",335100,Tetuan,"0016 0016",Dilluns,Dl,Laboral,2012,1,Gener,2,9,"No Çs causa del  vianant",Furgoneta,TRADE,NISSAN,Blanc,B,16,"4583116,59","431099,21"
