"N£mero d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ torn","Descripci¢ tipus accident","Coordenada UTM (Y)","Coordenada UTM (X)"
2013S007153,3,Sants-Montjuãc,15,Hostafrancs,94809,"Creu Coberta","0055 0055",Dimecres,Dc,Laboral,2013,10,Octubre,9,8,Mat°,Atropellament,"4580952,74","428698,5"
2013S003547,3,Sants-Montjuãc,15,Hostafrancs,223504,Muntadas,"0014 0014",Dijous,Dj,Laboral,2013,5,Maig,16,18,Tarda,"Col.lisi¢ fronto-lateral","4581108,27","428228,86"
2013S001473,3,Sants-Montjuãc,15,Hostafrancs,114000,Espanya,"0005 0005",Dimarts,Dm,Laboral,2013,2,Febrer,26,0,Nit,"Col.lisi¢ fronto-lateral","4580937,4","428856,34"
2013S008129,3,Sants-Montjuãc,15,Hostafrancs,169409,"Corts Catalanes","0355 0359",Dijous,Dj,Laboral,2013,11,Novembre,14,16,Tarda,"Col.lisi¢ fronto-lateral","4580861,21","428820,36"
2013S000518,3,Sants-Montjuãc,14,"la Font de la Guatlla",169409,"Corts Catalanes","0242 0242",Dimarts,Dm,Laboral,2013,1,Gener,22,18,Tarda,"Col.lisi¢ lateral","4580427,15","428450,86"
2013S006532,3,Sants-Montjuãc,13,"la Marina de Port",160903,"Ildefons CerdÖ",0001V0001V,Diumenge,Dg,Laboral,2013,9,Setembre,15,21,Tarda,Abast,"4579817,43","427840,47"
2013S008481,3,Sants-Montjuãc,13,"la Marina de Port",169409,"Corts Catalanes",0156V0156V,Dimarts,Dm,Laboral,2013,11,Novembre,26,16,Tarda,"Col.lisi¢ lateral","4579963,45","427978,22"
2013S008467,3,Sants-Montjuãc,13,"la Marina de Port",212406,Mineria,"0037 0037",Dimarts,Dm,Laboral,2013,11,Novembre,26,9,Mat°,"Xoc contra element estÖtic","4579963,52","428123,6"
2013S001713,3,Sants-Montjuãc,13,"la Marina de Port",701376,MatemÖtiques,"0003 0003",Dimecres,Dc,Laboral,2013,3,Mará,6,21,Tarda,"Caiguda (dues rodes)","4579943,25","428110,37"
2013S000127,3,Sants-Montjuãc,13,"la Marina de Port",212406,Mineria,"0016 0016",Dilluns,Dl,Laboral,2013,1,Gener,7,13,Mat°,"Col.lisi¢ lateral","4579766,84","427976,47"
2013S003488,3,Sants-Montjuãc,13,"la Marina de Port",369408,"Zona Franca","0208 0208",Dimarts,Dm,Laboral,2013,9,Setembre,3,18,Tarda,"Col.lisi¢ lateral","4579484,67","428005,32"
2013S006059,3,Sants-Montjuãc,13,"la Marina de Port",369408,"Zona Franca","0210 0214",Divendres,Dv,Laboral,2013,8,Agost,23,17,Tarda,"Col.lisi¢ lateral","4579511,02","427991,25"
2013S007798,3,Sants-Montjuãc,13,"la Marina de Port",369408,"Zona Franca","0224 0224",Dijous,Dj,Laboral,2013,10,Octubre,31,20,Tarda,Abast,"4579568,95","427960,33"
2013S005039,3,Sants-Montjuãc,14,"la Font de la Guatlla",96906,DÖlia,"0020 0020",Dijous,Dj,Laboral,2013,7,Juliol,11,8,Mat°,"Abast multiple","4580357,68","428707,18"
2013S006245,3,Sants-Montjuãc,14,"la Font de la Guatlla",198702,"Francesc Ferrer i GuÖrdia",0010X0010X,Dimecres,Dc,Laboral,2013,9,Setembre,4,13,Mat°,Altres,"4580512,63","428986,32"
2013S007082,3,Sants-Montjuãc,14,"la Font de la Guatlla",198702,"Francesc Ferrer i GuÖrdia","0016 0018",Diumenge,Dg,Laboral,2013,10,Octubre,6,10,Mat°,Abast,"4580348,8","428901,74"
2013S008710,3,Sants-Montjuãc,17,"Sants - Badal",312400,Sants,"0281 0291",Dimarts,Dm,Laboral,2013,12,Desembre,3,18,Tarda,Abast,"4581005,19","427292,12"
2013S008448,3,Sants-Montjuãc,17,"Sants - Badal",312400,Sants,"0293 0293",Dilluns,Dl,Laboral,2013,11,Novembre,25,17,Tarda,"Col.lisi¢ fronto-lateral","4581005,67","427283,82"
2013S001864,3,Sants-Montjuãc,17,"Sants - Badal",328808,Sugranyes,"0051 0051",Dimarts,Dm,Laboral,2013,3,Mará,12,9,Mat°,"Col.lisi¢ fronto-lateral","4580800,89","427244,67"
2013S005555,3,Sants-Montjuãc,17,"Sants - Badal",282252,Blanca,"0063 0065",Dimarts,Dm,Laboral,2013,7,Juliol,30,13,Mat°,Atropellament,"4580778,01","426908,28"
2013S001275,3,Sants-Montjuãc,17,"Sants - Badal",312400,Sants,"0300 0304",Dimarts,Dm,Laboral,2013,2,Febrer,19,15,Tarda,"Caiguda (dues rodes)","4581039,26","426983,99"
2013S003352,3,Sants-Montjuãc,17,"Sants - Badal",312400,Sants,"0333 0335",Dijous,Dj,Laboral,2013,5,Maig,9,8,Mat°,"Caiguda (dues rodes)","4581012,85","427101,59"
2013S008797,3,Sants-Montjuãc,18,Sants,207406,"Melcior de Palau","0075 0075",Divendres,Dv,Laboral,2013,12,Desembre,6,2,Nit,"Col.lisi¢ fronto-lateral","4581464,97","427692,79"
2013S008643,3,Sants-Montjuãc,17,"Sants - Badal",173202,"Juan de Sada","0049 0049",Diumenge,Dg,Laboral,2013,12,Desembre,1,14,Tarda,"Col.lisi¢ fronto-lateral","4581273,17","427148,6"
2013S004224,3,Sants-Montjuãc,18,Sants,138802,Galileu,"0001 0003",Dilluns,Dl,Laboral,2013,6,Juny,10,14,Tarda,Abast,"4581083,39","427828,74"
2013S003161,3,Sants-Montjuãc,17,"Sants - Badal",338903,Torns,"0023 0025",Dijous,Dj,Laboral,2013,5,Maig,2,2,Nit,"Xoc contra element estÖtic","4580929,18","426853,08"
